tempo,origem,destino,msg_id,delivered,forward_util
750,1,8,1-2-1,0,1
815,1,3,1-2-1,0,1
1755,1,2,1-2-1,1,1
1935,3,7,1-2-1,0,1
2555,7,4,1-2-1,0,1
2560,4,7,1-2-1,0,0
3150,7,3,1-2-1,0,0
3155,3,7,1-2-1,0,0
3190,8,3,1-2-1,0,0
3195,3,8,1-2-1,0,0
3705,8,7,1-2-1,0,0
3710,7,8,1-2-1,0,0
3880,7,2,1-2-1,0,0
4725,4,2,1-2-1,0,0
6850,8,2,1-2-1,0,0
9555,3,6,1-2-1,0,1
9630,6,5,1-2-1,0,1
11185,5,7,1-2-1,0,0
11485,5,8,1-2-1,0,0
12385,5,6,1-2-1,0,0
12385,6,5,1-2-1,0,0
12405,6,3,1-2-1,0,0
12410,3,6,1-2-1,0,0
12415,3,5,1-2-1,0,0
12415,5,3,1-2-1,0,0
12635,5,8,1-2-1,0,0
12870,3,5,1-2-1,0,0
12870,5,3,1-2-1,0,0
13765,5,6,1-2-1,0,0
13765,6,5,1-2-1,0,0
13920,5,6,1-2-1,0,0
13920,6,5,1-2-1,0,0
14255,6,3,1-2-1,0,0
14260,3,6,1-2-1,0,0
14625,5,8,1-2-1,0,0
14890,6,8,1-2-1,0,0
15685,3,5,1-2-1,0,0
15685,5,3,1-2-1,0,0
16170,3,6,1-2-1,0,0
16170,6,3,1-2-1,0,0
16625,6,2,1-2-1,0,0
19230,3,2,1-2-1,0,0
19895,5,1,1-2-1,0,0
20775,5,3,1-2-1,0,0
23130,5,7,1-2-1,0,0
23705,5,4,1-2-1,0,0
24585,5,1,1-2-1,0,0
26430,5,6,1-2-1,0,0
27530,5,6,1-2-1,0,0
28990,5,8,1-2-1,0,0
29995,5,2,1-2-1,0,0
