tempo,origem,destino,msg_id,delivered,forward_util
2675,1,6,1-2-1,0,1
3610,6,4,1-2-1,0,1
3615,4,6,1-2-1,0,0
3755,6,5,1-2-1,0,1
4125,4,1,1-2-1,0,0
4130,1,4,1-2-1,0,0
4145,4,7,1-2-1,0,1
4880,1,8,1-2-1,0,1
5010,1,6,1-2-1,0,0
5010,6,1,1-2-1,0,0
5140,6,7,1-2-1,0,0
5140,7,6,1-2-1,0,0
5235,4,1,1-2-1,0,0
5240,1,4,1-2-1,0,0
5410,5,4,1-2-1,0,0
5415,4,5,1-2-1,0,0
5925,5,8,1-2-1,0,0
5925,8,5,1-2-1,0,0
6755,6,1,1-2-1,0,0
6760,1,6,1-2-1,0,0
7010,7,2,1-2-1,1,1
7335,5,6,1-2-1,0,0
7335,6,5,1-2-1,0,0
7770,1,7,1-2-1,0,0
8415,1,8,1-2-1,0,0
8415,8,1,1-2-1,0,0
8680,4,7,1-2-1,0,0
9005,1,7,1-2-1,0,0
9410,8,1,1-2-1,0,0
9415,1,8,1-2-1,0,0
9875,8,1,1-2-1,0,0
9880,1,8,1-2-1,0,0
11075,1,4,1-2-1,0,0
11075,4,1,1-2-1,0,0
12120,4,2,1-2-1,0,0
13120,6,5,1-2-1,0,0
13125,5,6,1-2-1,0,0
13360,5,6,1-2-1,0,0
14470,5,7,1-2-1,0,0
14740,5,8,1-2-1,0,0
14740,8,5,1-2-1,0,0
15890,5,7,1-2-1,0,0
16370,6,4,1-2-1,0,0
17425,8,1,1-2-1,0,0
17430,1,8,1-2-1,0,0
17815,6,1,1-2-1,0,0
17820,1,6,1-2-1,0,0
17910,6,7,1-2-1,0,0
17955,5,7,1-2-1,0,0
17960,5,6,1-2-1,0,0
17960,6,5,1-2-1,0,0
19395,1,3,1-2-1,0,1
19490,8,4,1-2-1,0,0
19700,5,4,1-2-1,0,0
20880,5,1,1-2-1,0,0
20885,1,5,1-2-1,0,0
20950,3,2,1-2-1,0,0
21785,6,8,1-2-1,0,0
21785,8,6,1-2-1,0,0
21985,1,3,1-2-1,0,0
22070,8,7,1-2-1,0,0
22850,5,3,1-2-1,0,0
23235,1,3,1-2-1,0,0
24570,1,4,1-2-1,0,0
24755,6,2,1-2-1,0,0
25130,5,6,1-2-1,0,0
25155,8,4,1-2-1,0,0
25180,5,7,1-2-1,0,0
25265,1,3,1-2-1,0,0
25915,8,7,1-2-1,0,0
26470,1,2,1-2-1,0,0
26810,5,6,1-2-1,0,0
28455,8,2,1-2-1,0,0
30850,5,6,1-2-1,0,0
31780,5,3,1-2-1,0,0
31900,5,3,1-2-1,0,0
32920,5,2,1-2-1,0,0
