tempo,origem,destino,msg_id,delivered,forward_util
1105,1,7,1-2-1,0,1
2060,7,3,1-2-1,0,1
2405,1,6,1-2-1,0,1
2650,1,4,1-2-1,0,1
2885,7,6,1-2-1,0,0
2890,6,7,1-2-1,0,0
3510,4,5,1-2-1,0,1
3950,3,4,1-2-1,0,0
3950,4,3,1-2-1,0,0
4115,5,3,1-2-1,0,0
4120,3,5,1-2-1,0,0
4345,4,7,1-2-1,0,0
4345,7,4,1-2-1,0,0
4625,4,6,1-2-1,0,0
4625,6,4,1-2-1,0,0
4710,5,8,1-2-1,0,1
5015,8,2,1-2-1,1,1
5225,3,1,1-2-1,0,0
5240,1,3,1-2-1,0,0
5440,4,8,1-2-1,0,0
5500,5,4,1-2-1,0,0
5505,4,5,1-2-1,0,0
5615,3,2,1-2-1,0,0
5630,5,8,1-2-1,0,0
6415,4,8,1-2-1,0,0
6725,6,4,1-2-1,0,0
6730,4,6,1-2-1,0,0
7035,4,3,1-2-1,0,0
7200,1,7,1-2-1,0,0
7200,7,1,1-2-1,0,0
7630,7,8,1-2-1,0,0
7955,7,6,1-2-1,0,0
7960,6,7,1-2-1,0,0
8005,4,2,1-2-1,0,0
8865,1,7,1-2-1,0,0
8865,7,1,1-2-1,0,0
9010,7,5,1-2-1,0,0
9015,5,7,1-2-1,0,0
9485,7,3,1-2-1,0,0
9630,7,2,1-2-1,0,0
9935,6,1,1-2-1,0,0
9940,1,6,1-2-1,0,0
10595,5,3,1-2-1,0,0
10980,6,4,1-2-1,0,0
11360,6,4,1-2-1,0,0
12120,1,8,1-2-1,0,0
12335,6,3,1-2-1,0,0
12665,6,5,1-2-1,0,0
12670,5,6,1-2-1,0,0
13875,5,8,1-2-1,0,0
14470,5,8,1-2-1,0,0
14730,6,2,1-2-1,0,0
15180,1,3,1-2-1,0,0
15765,5,7,1-2-1,0,0
15850,1,6,1-2-1,0,0
16310,5,8,1-2-1,0,0
17375,5,6,1-2-1,0,0
17440,1,6,1-2-1,0,0
18260,1,3,1-2-1,0,0
18595,1,5,1-2-1,0,0
18595,5,1,1-2-1,0,0
19245,1,4,1-2-1,0,0
19470,5,4,1-2-1,0,0
19560,1,5,1-2-1,0,0
19560,5,1,1-2-1,0,0
19600,5,8,1-2-1,0,0
20425,1,7,1-2-1,0,0
20570,5,2,1-2-1,0,0
22975,1,5,1-2-1,0,0
23395,1,7,1-2-1,0,0
26520,1,6,1-2-1,0,0
27785,1,5,1-2-1,0,0
30885,1,8,1-2-1,0,0
36305,1,7,1-2-1,0,0
38970,1,7,1-2-1,0,0
42570,1,6,1-2-1,0,0
48215,1,3,1-2-1,0,0
