tempo,origem,destino,msg_id,delivered,forward_util
810,1,5,1-2-1,0,1
3765,5,3,1-2-1,0,1
5240,3,7,1-2-1,0,1
5285,1,7,1-2-1,0,0
5285,3,1,1-2-1,0,0
5285,7,1,1-2-1,0,0
5290,1,3,1-2-1,0,0
5405,7,3,1-2-1,0,0
5410,3,7,1-2-1,0,0
7050,5,3,1-2-1,0,0
7055,3,5,1-2-1,0,0
7295,7,6,1-2-1,0,1
7300,6,7,1-2-1,0,0
7310,1,2,1-2-1,1,1
8130,7,1,1-2-1,0,0
8495,7,3,1-2-1,0,0
8500,3,7,1-2-1,0,0
8635,6,8,1-2-1,0,1
9425,3,4,1-2-1,0,1
9465,7,2,1-2-1,0,0
9705,4,1,1-2-1,0,0
11085,4,7,1-2-1,0,0
11810,8,5,1-2-1,0,0
11815,5,8,1-2-1,0,0
12230,8,3,1-2-1,0,0
12240,3,8,1-2-1,0,0
12920,5,2,1-2-1,0,0
13510,8,1,1-2-1,0,0
14835,4,7,1-2-1,0,0
15705,4,1,1-2-1,0,0
15905,3,2,1-2-1,0,0
16520,4,5,1-2-1,0,0
16570,8,2,1-2-1,0,0
16750,6,1,1-2-1,0,0
17585,4,6,1-2-1,0,0
17585,6,4,1-2-1,0,0
17660,4,7,1-2-1,0,0
18525,6,2,1-2-1,0,0
19110,4,2,1-2-1,0,0
