tempo,origem,destino,msg_id,delivered,forward_util
790,1,5,1-2-1,0,1
1265,1,3,1-2-1,0,1
2890,3,1,1-2-1,0,0
2895,1,3,1-2-1,0,0
4470,1,5,1-2-1,0,0
4470,5,1,1-2-1,0,0
4905,3,4,1-2-1,0,1
4920,4,3,1-2-1,0,0
5130,3,1,1-2-1,0,0
5135,1,3,1-2-1,0,0
5665,5,7,1-2-1,0,1
5770,4,8,1-2-1,0,1
6460,5,4,1-2-1,0,0
6945,4,3,1-2-1,0,0
6950,3,4,1-2-1,0,0
7045,8,1,1-2-1,0,0
7050,1,8,1-2-1,0,0
7115,7,8,1-2-1,0,0
7115,8,7,1-2-1,0,0
7325,3,2,1-2-1,1,1
8775,7,6,1-2-1,0,1
9345,7,4,1-2-1,0,0
9350,4,7,1-2-1,0,0
9495,7,3,1-2-1,0,0
10480,6,8,1-2-1,0,0
10480,8,6,1-2-1,0,0
10835,8,2,1-2-1,0,0
11055,4,5,1-2-1,0,0
11055,5,4,1-2-1,0,0
11095,4,8,1-2-1,0,0
11210,1,4,1-2-1,0,0
11210,4,1,1-2-1,0,0
11795,6,7,1-2-1,0,0
11795,7,6,1-2-1,0,0
12025,5,2,1-2-1,0,0
12375,7,6,1-2-1,0,0
12380,6,7,1-2-1,0,0
12870,6,2,1-2-1,0,0
12960,4,6,1-2-1,0,0
12960,7,1,1-2-1,0,0
12965,1,7,1-2-1,0,0
13060,1,3,1-2-1,0,0
13070,7,8,1-2-1,0,0
13180,7,2,1-2-1,0,0
13900,4,5,1-2-1,0,0
15905,1,4,1-2-1,0,0
17185,4,5,1-2-1,0,0
17860,4,6,1-2-1,0,0
18090,1,8,1-2-1,0,0
18345,4,6,1-2-1,0,0
18585,1,2,1-2-1,0,0
19085,4,5,1-2-1,0,0
22095,4,8,1-2-1,0,0
23690,4,1,1-2-1,0,0
31065,4,7,1-2-1,0,0
32360,4,6,1-2-1,0,0
36975,4,8,1-2-1,0,0
40320,4,3,1-2-1,0,0
40375,4,2,1-2-1,0,0
