tempo,origem,destino,msg_id,delivered,forward_util
2465,1,7,1-2-1,0,1
2765,7,8,1-2-1,0,1
3710,1,5,1-2-1,0,1
4310,7,4,1-2-1,0,1
4845,4,3,1-2-1,0,1
4850,3,4,1-2-1,0,0
5070,8,2,1-2-1,1,1
5195,1,8,1-2-1,0,0
5320,4,2,1-2-1,0,0
5555,7,1,1-2-1,0,0
5560,1,7,1-2-1,0,0
5610,5,7,1-2-1,0,0
5610,7,5,1-2-1,0,0
6930,7,8,1-2-1,0,0
7215,5,4,1-2-1,0,0
7805,3,2,1-2-1,0,0
8405,1,6,1-2-1,0,1
9125,5,8,1-2-1,0,0
9275,5,7,1-2-1,0,0
9275,7,5,1-2-1,0,0
10270,1,4,1-2-1,0,0
10855,1,3,1-2-1,0,0
11170,5,4,1-2-1,0,0
11230,5,4,1-2-1,0,0
11275,5,4,1-2-1,0,0
11780,1,4,1-2-1,0,0
12010,7,1,1-2-1,0,0
12015,1,7,1-2-1,0,0
12255,7,2,1-2-1,0,0
12870,6,4,1-2-1,0,0
12900,5,6,1-2-1,0,0
12900,6,5,1-2-1,0,0
13180,6,7,1-2-1,0,0
13665,5,2,1-2-1,0,0
14730,6,8,1-2-1,0,0
15535,1,4,1-2-1,0,0
15805,6,7,1-2-1,0,0
16160,1,7,1-2-1,0,0
16490,1,5,1-2-1,0,0
19115,6,5,1-2-1,0,0
20265,6,2,1-2-1,0,0
21350,1,6,1-2-1,0,0
22295,1,8,1-2-1,0,0
23365,1,5,1-2-1,0,0
24745,1,5,1-2-1,0,0
26275,1,5,1-2-1,0,0
26365,1,8,1-2-1,0,0
26480,1,7,1-2-1,0,0
30810,1,3,1-2-1,0,0
33130,1,4,1-2-1,0,0
33655,1,5,1-2-1,0,0
40745,1,2,1-2-1,0,0
