tempo,origem,destino,msg_id,delivered,forward_util
725,1,4,1-2-1,0,1
810,1,7,1-2-1,0,1
1445,7,2,1-2-1,1,1
1660,4,5,1-2-1,0,1
2775,1,8,1-2-1,0,1
2915,4,7,1-2-1,0,0
3295,8,2,1-2-1,0,0
3635,4,7,1-2-1,0,0
4600,5,4,1-2-1,0,0
4605,4,5,1-2-1,0,0
5030,4,2,1-2-1,0,0
6025,5,6,1-2-1,0,1
6930,6,7,1-2-1,0,0
7120,1,6,1-2-1,0,0
7120,6,1,1-2-1,0,0
7150,5,7,1-2-1,0,0
7545,6,5,1-2-1,0,0
7550,5,6,1-2-1,0,0
8730,6,8,1-2-1,0,0
9415,5,2,1-2-1,0,0
9705,6,8,1-2-1,0,0
9910,1,4,1-2-1,0,0
13835,1,3,1-2-1,0,1
14085,3,5,1-2-1,0,0
15030,1,2,1-2-1,0,0
16075,3,5,1-2-1,0,0
18155,6,5,1-2-1,0,0
18765,3,5,1-2-1,0,0
19295,3,7,1-2-1,0,0
19765,3,2,1-2-1,0,0
23715,6,3,1-2-1,0,0
24055,6,2,1-2-1,0,0
