tempo,origem,destino,msg_id,delivered,forward_util
310,1,6,1-2-1,0,1
1495,1,8,1-2-1,0,1
2010,8,2,1-2-1,1,1
2375,1,4,1-2-1,0,1
2435,4,8,1-2-1,0,0
2905,6,2,1-2-1,0,0
3085,1,3,1-2-1,0,1
3260,1,6,1-2-1,0,0
3820,3,6,1-2-1,0,0
4170,1,6,1-2-1,0,0
5665,1,2,1-2-1,0,0
5745,3,8,1-2-1,0,0
6065,4,6,1-2-1,0,0
6445,4,7,1-2-1,0,1
8365,4,2,1-2-1,0,0
8780,3,7,1-2-1,0,0
8780,7,3,1-2-1,0,0
9495,7,1,1-2-1,0,0
11675,3,7,1-2-1,0,0
11675,7,3,1-2-1,0,0
11900,7,3,1-2-1,0,0
11905,3,7,1-2-1,0,0
12155,3,4,1-2-1,0,0
12285,3,4,1-2-1,0,0
13025,7,2,1-2-1,0,0
13800,3,5,1-2-1,0,1
15100,5,2,1-2-1,0,0
15365,3,6,1-2-1,0,0
18010,3,5,1-2-1,0,0
18590,3,1,1-2-1,0,0
19265,3,5,1-2-1,0,0
20850,3,2,1-2-1,0,0
