tempo,origem,destino,msg_id,delivered,forward_util
2645,1,6,1-2-1,0,1
2775,6,7,1-2-1,0,1
4685,7,4,1-2-1,0,1
4690,4,7,1-2-1,0,0
4765,4,8,1-2-1,0,1
5375,4,3,1-2-1,0,1
5380,3,4,1-2-1,0,0
6045,7,8,1-2-1,0,0
6045,8,7,1-2-1,0,0
6055,6,1,1-2-1,0,0
6060,1,6,1-2-1,0,0
7010,3,5,1-2-1,0,1
7720,6,7,1-2-1,0,0
7720,7,6,1-2-1,0,0
8010,7,4,1-2-1,0,0
8015,4,7,1-2-1,0,0
8090,4,6,1-2-1,0,0
8090,6,4,1-2-1,0,0
8930,7,6,1-2-1,0,0
8935,6,7,1-2-1,0,0
9995,4,2,1-2-1,1,1
10225,1,5,1-2-1,0,0
10225,5,1,1-2-1,0,0
10490,5,2,1-2-1,0,0
10710,3,2,1-2-1,0,0
10905,7,2,1-2-1,0,0
10920,1,4,1-2-1,0,0
13310,8,3,1-2-1,0,0
13600,8,3,1-2-1,0,0
14840,1,4,1-2-1,0,0
15320,1,5,1-2-1,0,0
15345,1,3,1-2-1,0,0
15430,8,6,1-2-1,0,0
15435,6,8,1-2-1,0,0
16550,6,5,1-2-1,0,0
17015,8,5,1-2-1,0,0
17250,8,1,1-2-1,0,0
17260,1,8,1-2-1,0,0
17520,1,7,1-2-1,0,0
17785,8,4,1-2-1,0,0
18920,1,4,1-2-1,0,0
19505,1,3,1-2-1,0,0
19625,6,7,1-2-1,0,0
20545,1,5,1-2-1,0,0
21035,6,5,1-2-1,0,0
21445,1,5,1-2-1,0,0
21495,1,7,1-2-1,0,0
22150,1,5,1-2-1,0,0
22470,1,3,1-2-1,0,0
22740,1,6,1-2-1,0,0
22740,6,1,1-2-1,0,0
23050,1,5,1-2-1,0,0
24195,6,5,1-2-1,0,0
24585,8,2,1-2-1,0,0
24980,6,2,1-2-1,0,0
25435,1,4,1-2-1,0,0
33315,1,4,1-2-1,0,0
34910,1,4,1-2-1,0,0
35065,1,6,1-2-1,0,0
40015,1,8,1-2-1,0,0
41105,1,5,1-2-1,0,0
41895,1,6,1-2-1,0,0
42320,1,7,1-2-1,0,0
42385,1,4,1-2-1,0,0
45215,1,4,1-2-1,0,0
46050,1,8,1-2-1,0,0
47215,1,2,1-2-1,0,0
