tempo,origem,destino,msg_id,delivered,forward_util
315,1,5,1-2-1,0,1
3050,1,3,1-2-1,0,1
3100,3,8,1-2-1,0,1
3825,8,7,1-2-1,0,1
3895,8,4,1-2-1,0,1
3900,4,8,1-2-1,0,0
3990,1,7,1-2-1,0,0
3990,7,1,1-2-1,0,0
4330,3,2,1-2-1,1,1
4525,7,4,1-2-1,0,0
4530,4,7,1-2-1,0,0
4545,4,7,1-2-1,0,0
5700,7,3,1-2-1,0,0
5890,1,5,1-2-1,0,0
5890,5,1,1-2-1,0,0
6790,1,3,1-2-1,0,0
7280,7,6,1-2-1,0,1
7290,4,6,1-2-1,0,0
7290,6,4,1-2-1,0,0
7340,4,7,1-2-1,0,0
7345,7,4,1-2-1,0,0
7500,6,5,1-2-1,0,0
7505,5,6,1-2-1,0,0
7725,5,3,1-2-1,0,0
7935,6,8,1-2-1,0,0
7935,8,6,1-2-1,0,0
8025,6,8,1-2-1,0,0
8040,6,8,1-2-1,0,0
8365,8,2,1-2-1,0,0
8390,1,7,1-2-1,0,0
8390,7,1,1-2-1,0,0
8435,6,2,1-2-1,0,0
8920,1,8,1-2-1,0,0
8980,4,3,1-2-1,0,0
9090,1,6,1-2-1,0,0
9285,4,5,1-2-1,0,0
9285,5,4,1-2-1,0,0
11300,1,7,1-2-1,0,0
11300,7,1,1-2-1,0,0
11475,7,2,1-2-1,0,0
11590,1,8,1-2-1,0,0
12890,5,2,1-2-1,0,0
13715,1,2,1-2-1,0,0
20035,4,1,1-2-1,0,0
23430,4,8,1-2-1,0,0
24245,4,3,1-2-1,0,0
24325,4,5,1-2-1,0,0
26935,4,8,1-2-1,0,0
26985,4,6,1-2-1,0,0
29425,4,8,1-2-1,0,0
29620,4,7,1-2-1,0,0
32360,4,5,1-2-1,0,0
33370,4,2,1-2-1,0,0
