tempo,origem,destino,msg_id,delivered,forward_util
495,1,4,1-2-1,0,1
815,1,5,1-2-1,0,1
3720,4,6,1-2-1,0,1
4630,6,5,1-2-1,0,0
4635,5,6,1-2-1,0,0
5545,6,7,1-2-1,0,1
6115,4,3,1-2-1,0,1
6765,5,7,1-2-1,0,0
6765,7,5,1-2-1,0,0
6775,4,3,1-2-1,0,0
6780,3,4,1-2-1,0,0
7590,3,5,1-2-1,0,0
7590,5,3,1-2-1,0,0
7730,7,2,1-2-1,1,1
7800,5,8,1-2-1,0,1
7935,5,4,1-2-1,0,0
7940,4,5,1-2-1,0,0
7965,8,4,1-2-1,0,0
7970,4,8,1-2-1,0,0
9295,4,2,1-2-1,0,0
10235,1,3,1-2-1,0,0
10235,3,1,1-2-1,0,0
10570,6,4,1-2-1,0,0
10615,3,8,1-2-1,0,0
10615,8,3,1-2-1,0,0
11085,1,2,1-2-1,0,0
12115,8,4,1-2-1,0,0
12145,3,1,1-2-1,0,0
12640,5,3,1-2-1,0,0
12645,3,5,1-2-1,0,0
12705,8,4,1-2-1,0,0
13235,3,2,1-2-1,0,0
13875,5,7,1-2-1,0,0
14915,8,3,1-2-1,0,0
15125,8,4,1-2-1,0,0
15545,8,1,1-2-1,0,0
15745,6,5,1-2-1,0,0
15765,5,6,1-2-1,0,0
16105,8,2,1-2-1,0,0
17455,5,6,1-2-1,0,0
17455,6,5,1-2-1,0,0
17595,5,1,1-2-1,0,0
18070,6,1,1-2-1,0,0
20130,6,2,1-2-1,0,0
21380,5,7,1-2-1,0,0
21580,5,6,1-2-1,0,0
22085,5,3,1-2-1,0,0
24590,5,4,1-2-1,0,0
31000,5,2,1-2-1,0,0
