tempo,origem,destino,msg_id,delivered,forward_util
260,1,7,1-2-1,0,1
3730,7,6,1-2-1,0,1
3735,6,7,1-2-1,0,0
3795,6,3,1-2-1,0,1
3915,7,8,1-2-1,0,1
4440,8,2,1-2-1,1,1
6105,1,2,1-2-1,0,0
6850,3,7,1-2-1,0,0
6850,7,3,1-2-1,0,0
6975,7,8,1-2-1,0,0
6975,7,1,1-2-1,0,0
7565,7,4,1-2-1,0,1
7590,4,7,1-2-1,0,0
9060,3,2,1-2-1,0,0
9670,7,4,1-2-1,0,0
9675,4,7,1-2-1,0,0
10215,7,1,1-2-1,0,0
10295,6,2,1-2-1,0,0
10495,7,6,1-2-1,0,0
11730,4,6,1-2-1,0,0
12065,7,3,1-2-1,0,0
12450,7,3,1-2-1,0,0
15050,7,8,1-2-1,0,0
15650,4,5,1-2-1,0,1
16795,7,6,1-2-1,0,0
17660,7,1,1-2-1,0,0
18200,7,8,1-2-1,0,0
18265,4,2,1-2-1,0,0
18460,5,2,1-2-1,0,0
19375,7,5,1-2-1,0,0
20895,7,1,1-2-1,0,0
21315,7,2,1-2-1,0,0
