tempo,origem,destino,msg_id,delivered,forward_util
780,1,7,1-2-1,0,1
795,1,6,1-2-1,0,1
895,7,8,1-2-1,0,1
1210,1,7,1-2-1,0,0
1210,7,1,1-2-1,0,0
1970,1,2,1-2-1,1,1
2445,7,6,1-2-1,0,0
2450,6,7,1-2-1,0,0
2670,8,2,1-2-1,0,0
5330,7,2,1-2-1,0,0
5565,6,7,1-2-1,0,0
12710,6,4,1-2-1,0,1
12720,4,6,1-2-1,0,0
12880,4,2,1-2-1,0,0
14460,6,5,1-2-1,0,1
14465,5,6,1-2-1,0,0
15020,6,3,1-2-1,0,1
15330,5,4,1-2-1,0,0
15370,5,1,1-2-1,0,0
15610,5,8,1-2-1,0,0
15845,5,8,1-2-1,0,0
16235,3,7,1-2-1,0,0
17110,3,8,1-2-1,0,0
17170,5,6,1-2-1,0,0
17170,6,5,1-2-1,0,0
17730,3,7,1-2-1,0,0
17910,5,1,1-2-1,0,0
19180,6,4,1-2-1,0,0
19940,3,1,1-2-1,0,0
19945,3,2,1-2-1,0,0
20155,6,3,1-2-1,0,0
20615,6,7,1-2-1,0,0
21620,6,2,1-2-1,0,0
27395,5,8,1-2-1,0,0
27580,5,3,1-2-1,0,0
29200,5,3,1-2-1,0,0
30655,5,8,1-2-1,0,0
31650,5,3,1-2-1,0,0
31665,5,6,1-2-1,0,0
33765,5,4,1-2-1,0,0
35300,5,7,1-2-1,0,0
35975,5,2,1-2-1,0,0
