tempo,origem,destino,msg_id,delivered,forward_util
440,1,7,1-2-1,0,1
2695,7,4,1-2-1,0,1
2700,4,7,1-2-1,0,0
5755,7,5,1-2-1,0,1
5760,5,7,1-2-1,0,0
6105,5,2,1-2-1,1,1
6185,7,6,1-2-1,0,1
6190,6,7,1-2-1,0,0
6235,1,3,1-2-1,0,1
6240,3,1,1-2-1,0,0
6675,1,8,1-2-1,0,1
6680,3,2,1-2-1,0,0
6985,1,7,1-2-1,0,0
6985,7,1,1-2-1,0,0
7130,7,4,1-2-1,0,0
7135,4,7,1-2-1,0,0
7360,7,4,1-2-1,0,0
7365,4,7,1-2-1,0,0
7520,1,5,1-2-1,0,0
7645,1,3,1-2-1,0,0
7695,6,5,1-2-1,0,0
7820,6,8,1-2-1,0,0
7820,8,6,1-2-1,0,0
8560,4,2,1-2-1,0,0
8680,7,6,1-2-1,0,0
8715,7,6,1-2-1,0,0
8730,7,6,1-2-1,0,0
8750,6,7,1-2-1,0,0
9685,8,3,1-2-1,0,0
9900,8,2,1-2-1,0,0
11300,1,2,1-2-1,0,0
13560,7,1,1-2-1,0,0
15680,7,2,1-2-1,0,0
16445,6,3,1-2-1,0,0
17635,6,3,1-2-1,0,0
23710,6,7,1-2-1,0,0
24445,6,1,1-2-1,0,0
31295,6,7,1-2-1,0,0
31335,6,4,1-2-1,0,0
34080,6,5,1-2-1,0,0
34360,6,1,1-2-1,0,0
36180,6,1,1-2-1,0,0
36755,6,7,1-2-1,0,0
37200,6,4,1-2-1,0,0
38370,6,2,1-2-1,0,0
