tempo,origem,destino,msg_id,delivered,forward_util
2855,1,6,1-2-1,0,1
2955,1,8,1-2-1,0,1
4305,6,8,1-2-1,0,0
4305,8,6,1-2-1,0,0
4370,8,2,1-2-1,1,1
4610,1,7,1-2-1,0,1
4940,6,2,1-2-1,0,0
5115,1,3,1-2-1,0,1
5280,3,8,1-2-1,0,0
5290,7,5,1-2-1,0,1
5295,5,7,1-2-1,0,0
5670,3,4,1-2-1,0,1
6480,4,2,1-2-1,0,0
7015,1,2,1-2-1,0,0
7140,7,1,1-2-1,0,0
8360,5,8,1-2-1,0,0
9175,3,1,1-2-1,0,0
9250,3,6,1-2-1,0,0
10295,5,7,1-2-1,0,0
10295,7,5,1-2-1,0,0
10345,3,6,1-2-1,0,0
10505,7,1,1-2-1,0,0
12050,5,1,1-2-1,0,0
12665,7,6,1-2-1,0,0
13175,7,8,1-2-1,0,0
13900,7,5,1-2-1,0,0
13905,5,7,1-2-1,0,0
15980,3,1,1-2-1,0,0
16445,7,6,1-2-1,0,0
16515,7,4,1-2-1,0,0
17060,3,8,1-2-1,0,0
17735,3,1,1-2-1,0,0
17900,7,2,1-2-1,0,0
18360,5,2,1-2-1,0,0
19250,3,8,1-2-1,0,0
20445,3,1,1-2-1,0,0
20800,3,2,1-2-1,0,0
