tempo,origem,destino,msg_id,delivered,forward_util
615,1,5,1-2-1,0,1
1060,1,4,1-2-1,0,1
2170,5,4,1-2-1,0,0
2175,4,5,1-2-1,0,0
2485,4,8,1-2-1,0,1
3530,5,4,1-2-1,0,0
3535,4,5,1-2-1,0,0
4265,1,6,1-2-1,0,1
4310,1,6,1-2-1,0,0
4310,6,1,1-2-1,0,0
4570,4,2,1-2-1,1,1
4730,6,5,1-2-1,0,0
4735,5,6,1-2-1,0,0
4815,6,7,1-2-1,0,1
5255,8,1,1-2-1,0,0
5260,1,8,1-2-1,0,0
5950,5,7,1-2-1,0,0
5950,7,5,1-2-1,0,0
6015,6,2,1-2-1,0,0
6825,1,4,1-2-1,0,0
7855,5,4,1-2-1,0,0
8415,1,2,1-2-1,0,0
8555,5,1,1-2-1,0,0
8640,5,6,1-2-1,0,0
8665,5,2,1-2-1,0,0
9420,7,4,1-2-1,0,0
9590,7,1,1-2-1,0,0
10060,8,2,1-2-1,0,0
11115,7,3,1-2-1,0,1
11120,3,7,1-2-1,0,0
12220,3,6,1-2-1,0,0
13015,3,8,1-2-1,0,0
13095,3,7,1-2-1,0,0
13095,7,3,1-2-1,0,0
13115,3,1,1-2-1,0,0
13180,7,1,1-2-1,0,0
13490,3,4,1-2-1,0,0
13610,3,1,1-2-1,0,0
14630,3,8,1-2-1,0,0
16010,3,1,1-2-1,0,0
16175,3,1,1-2-1,0,0
17370,3,6,1-2-1,0,0
17805,7,8,1-2-1,0,0
17860,7,1,1-2-1,0,0
19110,3,6,1-2-1,0,0
21030,3,4,1-2-1,0,0
21860,3,8,1-2-1,0,0
22485,7,6,1-2-1,0,0
28495,3,7,1-2-1,0,0
28685,7,2,1-2-1,0,0
28755,3,2,1-2-1,0,0
