tempo,origem,destino,msg_id,delivered,forward_util
2215,1,8,1-2-1,0,1
2805,1,4,1-2-1,0,1
2930,4,3,1-2-1,0,1
2935,3,4,1-2-1,0,0
4140,4,2,1-2-1,1,1
4355,1,4,1-2-1,0,0
5070,1,7,1-2-1,0,1
5190,8,4,1-2-1,0,0
6045,8,5,1-2-1,0,1
6685,3,2,1-2-1,0,0
7260,1,3,1-2-1,0,0
8325,7,5,1-2-1,0,0
8330,5,7,1-2-1,0,0
8530,7,6,1-2-1,0,1
8615,1,6,1-2-1,0,0
8615,6,1,1-2-1,0,0
8650,1,3,1-2-1,0,0
8875,8,1,1-2-1,0,0
8880,1,8,1-2-1,0,0
9210,1,7,1-2-1,0,0
9210,7,1,1-2-1,0,0
9355,6,2,1-2-1,0,0
9915,1,2,1-2-1,0,0
11365,8,3,1-2-1,0,0
11585,8,3,1-2-1,0,0
12490,5,1,1-2-1,0,0
13040,5,2,1-2-1,0,0
15385,8,4,1-2-1,0,0
17375,7,2,1-2-1,0,0
18330,8,4,1-2-1,0,0
19835,8,7,1-2-1,0,0
20165,8,2,1-2-1,0,0
