tempo,origem,destino,msg_id,delivered,forward_util
270,1,8,1-2-1,0,1
790,1,2,1-2-1,1,1
1395,8,5,1-2-1,0,1
1400,5,8,1-2-1,0,0
2630,5,1,1-2-1,0,0
3390,8,6,1-2-1,0,1
3395,6,8,1-2-1,0,0
3740,8,4,1-2-1,0,1
3745,4,8,1-2-1,0,0
3970,5,3,1-2-1,0,1
5395,4,2,1-2-1,0,0
5545,8,2,1-2-1,0,0
6070,5,2,1-2-1,0,0
6745,6,3,1-2-1,0,0
6750,3,6,1-2-1,0,0
7070,3,1,1-2-1,0,0
7120,3,5,1-2-1,0,0
7390,3,7,1-2-1,0,1
7630,7,4,1-2-1,0,0
8630,6,2,1-2-1,0,0
8880,3,8,1-2-1,0,0
8945,3,4,1-2-1,0,0
9380,7,3,1-2-1,0,0
9385,3,7,1-2-1,0,0
10070,7,2,1-2-1,0,0
10375,3,5,1-2-1,0,0
10445,3,6,1-2-1,0,0
10475,3,4,1-2-1,0,0
11530,3,1,1-2-1,0,0
13490,3,6,1-2-1,0,0
14255,3,4,1-2-1,0,0
16735,3,4,1-2-1,0,0
16850,3,7,1-2-1,0,0
17355,3,1,1-2-1,0,0
20280,3,4,1-2-1,0,0
22640,3,4,1-2-1,0,0
22785,3,5,1-2-1,0,0
28760,3,6,1-2-1,0,0
29125,3,8,1-2-1,0,0
29715,3,6,1-2-1,0,0
36035,3,4,1-2-1,0,0
37005,3,1,1-2-1,0,0
37435,3,4,1-2-1,0,0
38610,3,2,1-2-1,0,0
