tempo,origem,destino,msg_id,delivered,forward_util
410,1,5,1-2-1,0,1
580,1,4,1-2-1,0,1
610,1,3,1-2-1,0,1
720,3,7,1-2-1,0,1
880,7,1,1-2-1,0,0
885,1,7,1-2-1,0,0
2020,3,8,1-2-1,0,1
2715,7,6,1-2-1,0,1
2720,6,7,1-2-1,0,0
2810,4,8,1-2-1,0,0
2810,8,4,1-2-1,0,0
3770,3,8,1-2-1,0,0
3770,8,3,1-2-1,0,0
4435,3,6,1-2-1,0,0
4435,6,3,1-2-1,0,0
4990,4,7,1-2-1,0,0
4990,7,4,1-2-1,0,0
5375,4,3,1-2-1,0,0
5380,3,4,1-2-1,0,0
6185,8,4,1-2-1,0,0
6190,4,8,1-2-1,0,0
6265,7,5,1-2-1,0,0
6270,5,7,1-2-1,0,0
6285,8,3,1-2-1,0,0
6290,3,8,1-2-1,0,0
6495,3,4,1-2-1,0,0
6495,4,3,1-2-1,0,0
6575,7,4,1-2-1,0,0
6580,4,7,1-2-1,0,0
7105,1,6,1-2-1,0,0
7105,6,1,1-2-1,0,0
7540,5,8,1-2-1,0,0
7540,8,5,1-2-1,0,0
7590,4,8,1-2-1,0,0
7590,8,4,1-2-1,0,0
7600,7,6,1-2-1,0,0
7605,6,7,1-2-1,0,0
7700,8,2,1-2-1,1,1
8375,6,4,1-2-1,0,0
8380,4,6,1-2-1,0,0
8525,5,6,1-2-1,0,0
8530,6,5,1-2-1,0,0
8905,7,3,1-2-1,0,0
8915,3,7,1-2-1,0,0
8940,6,8,1-2-1,0,0
9010,7,8,1-2-1,0,0
9045,3,8,1-2-1,0,0
9250,1,6,1-2-1,0,0
9250,6,1,1-2-1,0,0
9595,4,7,1-2-1,0,0
9595,7,4,1-2-1,0,0
9970,7,2,1-2-1,0,0
10360,3,5,1-2-1,0,0
10365,5,3,1-2-1,0,0
10420,5,4,1-2-1,0,0
10425,4,5,1-2-1,0,0
10755,5,8,1-2-1,0,0
11305,3,2,1-2-1,0,0
11425,5,2,1-2-1,0,0
11580,1,5,1-2-1,0,0
11675,1,2,1-2-1,0,0
12350,6,4,1-2-1,0,0
12355,4,6,1-2-1,0,0
16515,6,3,1-2-1,0,0
16535,6,2,1-2-1,0,0
18295,4,1,1-2-1,0,0
19790,4,1,1-2-1,0,0
22975,4,3,1-2-1,0,0
24205,4,7,1-2-1,0,0
24210,4,8,1-2-1,0,0
27805,4,3,1-2-1,0,0
28335,4,6,1-2-1,0,0
28700,4,7,1-2-1,0,0
29825,4,5,1-2-1,0,0
30725,4,2,1-2-1,0,0
