tempo,origem,destino,msg_id,delivered,forward_util
1155,1,5,1-2-1,0,1
1530,5,3,1-2-1,0,1
2975,3,8,1-2-1,0,1
3495,5,6,1-2-1,0,1
3675,6,1,1-2-1,0,0
3680,1,6,1-2-1,0,0
3800,1,2,1-2-1,1,1
4395,5,6,1-2-1,0,0
4395,6,5,1-2-1,0,0
4550,8,4,1-2-1,0,1
4600,4,5,1-2-1,0,0
4600,5,4,1-2-1,0,0
4890,5,7,1-2-1,0,1
6370,3,2,1-2-1,0,0
7550,8,1,1-2-1,0,0
7595,4,7,1-2-1,0,0
7595,7,4,1-2-1,0,0
7660,4,3,1-2-1,0,0
8320,7,6,1-2-1,0,0
8690,4,6,1-2-1,0,0
8695,6,4,1-2-1,0,0
9610,7,5,1-2-1,0,0
9615,5,7,1-2-1,0,0
9640,8,4,1-2-1,0,0
10070,4,2,1-2-1,0,0
10175,6,4,1-2-1,0,0
11025,7,3,1-2-1,0,0
11190,8,3,1-2-1,0,0
13905,6,3,1-2-1,0,0
14430,8,2,1-2-1,0,0
14815,6,8,1-2-1,0,0
14980,5,2,1-2-1,0,0
15050,7,5,1-2-1,0,0
15185,7,8,1-2-1,0,0
15340,7,1,1-2-1,0,0
16435,6,5,1-2-1,0,0
17370,6,2,1-2-1,0,0
17895,7,3,1-2-1,0,0
19370,7,4,1-2-1,0,0
19540,7,3,1-2-1,0,0
21925,7,1,1-2-1,0,0
22250,7,5,1-2-1,0,0
22525,7,6,1-2-1,0,0
23085,7,2,1-2-1,0,0
