tempo,origem,destino,msg_id,delivered,forward_util
340,1,4,1-2-1,0,1
1230,1,8,1-2-1,0,1
2510,1,7,1-2-1,0,1
2680,7,4,1-2-1,0,0
2685,4,7,1-2-1,0,0
3190,1,3,1-2-1,0,1
3545,4,2,1-2-1,1,1
3730,8,6,1-2-1,0,1
4390,6,4,1-2-1,0,0
5315,6,7,1-2-1,0,0
5315,7,6,1-2-1,0,0
5560,8,1,1-2-1,0,0
5565,1,8,1-2-1,0,0
5670,7,3,1-2-1,0,0
5675,3,7,1-2-1,0,0
5775,8,1,1-2-1,0,0
5780,1,8,1-2-1,0,0
5840,3,1,1-2-1,0,0
6345,7,2,1-2-1,0,0
7310,1,4,1-2-1,0,0
7535,8,5,1-2-1,0,1
7600,3,2,1-2-1,0,0
7970,5,1,1-2-1,0,0
7975,1,5,1-2-1,0,0
8245,5,8,1-2-1,0,0
8245,8,5,1-2-1,0,0
8380,8,7,1-2-1,0,0
9500,8,7,1-2-1,0,0
9850,6,7,1-2-1,0,0
9925,8,2,1-2-1,0,0
10140,5,3,1-2-1,0,0
10810,5,3,1-2-1,0,0
11555,1,6,1-2-1,0,0
11555,6,1,1-2-1,0,0
12200,6,4,1-2-1,0,0
13120,5,7,1-2-1,0,0
13685,5,3,1-2-1,0,0
14430,1,7,1-2-1,0,0
15100,1,7,1-2-1,0,0
15315,1,5,1-2-1,0,0
15315,5,1,1-2-1,0,0
15410,5,3,1-2-1,0,0
15420,1,4,1-2-1,0,0
16020,5,4,1-2-1,0,0
16240,6,3,1-2-1,0,0
16405,5,8,1-2-1,0,0
17625,5,6,1-2-1,0,0
17625,6,5,1-2-1,0,0
18855,1,6,1-2-1,0,0
18855,6,1,1-2-1,0,0
19675,6,4,1-2-1,0,0
19785,5,2,1-2-1,0,0
21985,1,7,1-2-1,0,0
22840,1,5,1-2-1,0,0
23025,1,7,1-2-1,0,0
24880,1,4,1-2-1,0,0
25035,1,8,1-2-1,0,0
25050,1,2,1-2-1,0,0
25120,6,3,1-2-1,0,0
28000,6,7,1-2-1,0,0
28250,6,3,1-2-1,0,0
29980,6,2,1-2-1,0,0
