tempo,origem,destino,msg_id,delivered,forward_util
3085,1,8,1-2-1,0,1
4195,8,6,1-2-1,0,1
4200,6,8,1-2-1,0,0
4995,8,3,1-2-1,0,1
5135,6,3,1-2-1,0,0
5140,3,6,1-2-1,0,0
5275,8,1,1-2-1,0,0
5280,1,8,1-2-1,0,0
5960,8,4,1-2-1,0,1
5965,4,8,1-2-1,0,0
6845,1,3,1-2-1,0,0
6845,3,1,1-2-1,0,0
7190,1,2,1-2-1,1,1
7670,8,6,1-2-1,0,0
7675,6,8,1-2-1,0,0
7885,4,7,1-2-1,0,1
8870,3,7,1-2-1,0,0
8870,7,3,1-2-1,0,0
9125,4,2,1-2-1,0,0
9390,6,5,1-2-1,0,1
9395,5,6,1-2-1,0,0
9620,8,2,1-2-1,0,0
9685,6,1,1-2-1,0,0
10145,7,6,1-2-1,0,0
10150,6,7,1-2-1,0,0
10795,3,4,1-2-1,0,0
10940,6,8,1-2-1,0,0
11355,3,5,1-2-1,0,0
11355,5,3,1-2-1,0,0
11700,6,8,1-2-1,0,0
12105,5,2,1-2-1,0,0
12320,6,5,1-2-1,0,0
12405,7,8,1-2-1,0,0
12530,7,6,1-2-1,0,0
12535,6,7,1-2-1,0,0
13425,3,8,1-2-1,0,0
13600,7,1,1-2-1,0,0
13715,6,5,1-2-1,0,0
13980,7,3,1-2-1,0,0
13985,3,7,1-2-1,0,0
16255,7,5,1-2-1,0,0
16450,3,8,1-2-1,0,0
16865,6,5,1-2-1,0,0
17830,6,2,1-2-1,0,0
18200,3,6,1-2-1,0,0
20095,7,3,1-2-1,0,0
20100,3,7,1-2-1,0,0
22355,3,2,1-2-1,0,0
22840,7,1,1-2-1,0,0
23060,7,6,1-2-1,0,0
24680,7,3,1-2-1,0,0
24960,7,5,1-2-1,0,0
26155,7,6,1-2-1,0,0
26355,7,3,1-2-1,0,0
30435,7,5,1-2-1,0,0
31045,7,5,1-2-1,0,0
31525,7,5,1-2-1,0,0
31830,7,3,1-2-1,0,0
34330,7,4,1-2-1,0,0
35040,7,5,1-2-1,0,0
38310,7,6,1-2-1,0,0
38550,7,1,1-2-1,0,0
39770,7,5,1-2-1,0,0
39825,7,8,1-2-1,0,0
41465,7,5,1-2-1,0,0
42525,7,1,1-2-1,0,0
43550,7,6,1-2-1,0,0
43630,7,1,1-2-1,0,0
43910,7,5,1-2-1,0,0
44455,7,4,1-2-1,0,0
46650,7,4,1-2-1,0,0
47810,7,6,1-2-1,0,0
