tempo,origem,destino,msg_id,delivered,forward_util
2885,1,3,1-2-1,0,1
3300,1,7,1-2-1,0,1
3750,7,8,1-2-1,0,1
3840,8,2,1-2-1,1,1
4135,3,1,1-2-1,0,0
4140,1,3,1-2-1,0,0
4800,3,4,1-2-1,0,1
5360,7,5,1-2-1,0,1
5615,4,1,1-2-1,0,0
5620,1,4,1-2-1,0,0
6360,7,8,1-2-1,0,0
6455,7,1,1-2-1,0,0
6460,1,7,1-2-1,0,0
6565,4,8,1-2-1,0,0
7125,7,5,1-2-1,0,0
7130,5,7,1-2-1,0,0
7370,1,8,1-2-1,0,0
7525,4,1,1-2-1,0,0
7530,1,4,1-2-1,0,0
8835,4,8,1-2-1,0,0
9175,1,2,1-2-1,0,0
10195,3,2,1-2-1,0,0
10310,5,1,1-2-1,0,0
11015,7,4,1-2-1,0,0
11020,4,7,1-2-1,0,0
12355,4,7,1-2-1,0,0
12355,7,4,1-2-1,0,0
13145,4,3,1-2-1,0,0
13355,5,2,1-2-1,0,0
15000,4,1,1-2-1,0,0
15985,7,3,1-2-1,0,0
16400,4,6,1-2-1,0,1
16410,4,5,1-2-1,0,0
16420,6,5,1-2-1,0,0
16560,7,4,1-2-1,0,0
16570,4,7,1-2-1,0,0
18395,4,5,1-2-1,0,0
19035,4,5,1-2-1,0,0
19415,4,3,1-2-1,0,0
19935,6,3,1-2-1,0,0
20335,6,5,1-2-1,0,0
21100,6,8,1-2-1,0,0
22095,6,1,1-2-1,0,0
23010,7,1,1-2-1,0,0
23170,7,3,1-2-1,0,0
23320,4,2,1-2-1,0,0
23930,6,3,1-2-1,0,0
24080,6,1,1-2-1,0,0
24275,7,1,1-2-1,0,0
24290,6,2,1-2-1,0,0
24490,7,2,1-2-1,0,0
