tempo,origem,destino,msg_id,delivered,forward_util
385,1,4,1-2-1,0,1
1135,4,6,1-2-1,0,1
1170,1,5,1-2-1,0,1
2185,6,3,1-2-1,0,1
2190,3,6,1-2-1,0,0
3105,1,8,1-2-1,0,1
3630,6,2,1-2-1,1,1
4520,8,1,1-2-1,0,0
4525,1,8,1-2-1,0,0
4830,4,7,1-2-1,0,1
4965,8,5,1-2-1,0,0
4970,3,2,1-2-1,0,0
4970,5,8,1-2-1,0,0
5580,4,2,1-2-1,0,0
5870,7,3,1-2-1,0,0
5990,7,4,1-2-1,0,0
6050,7,5,1-2-1,0,0
6060,5,7,1-2-1,0,0
6640,5,6,1-2-1,0,0
6910,1,4,1-2-1,0,0
7695,5,8,1-2-1,0,0
7695,8,5,1-2-1,0,0
8635,1,6,1-2-1,0,0
11245,7,1,1-2-1,0,0
11250,1,7,1-2-1,0,0
11660,5,4,1-2-1,0,0
12710,1,6,1-2-1,0,0
12810,1,5,1-2-1,0,0
12810,5,1,1-2-1,0,0
13695,5,1,1-2-1,0,0
13700,1,5,1-2-1,0,0
14320,8,2,1-2-1,0,0
14695,5,2,1-2-1,0,0
15545,1,7,1-2-1,0,0
15545,7,1,1-2-1,0,0
18325,1,2,1-2-1,0,0
19260,7,1,1-2-1,0,0
19340,7,4,1-2-1,0,0
19885,7,3,1-2-1,0,0
20210,7,1,1-2-1,0,0
20700,7,6,1-2-1,0,0
23750,7,3,1-2-1,0,0
24190,7,6,1-2-1,0,0
26270,7,1,1-2-1,0,0
28215,7,1,1-2-1,0,0
28730,7,6,1-2-1,0,0
34740,7,5,1-2-1,0,0
35385,7,8,1-2-1,0,0
38520,7,2,1-2-1,0,0
