tempo,origem,destino,msg_id,delivered,forward_util
3375,1,6,1-2-1,0,1
3545,6,1,1-2-1,0,0
3550,1,6,1-2-1,0,0
6370,1,8,1-2-1,0,1
8730,6,4,1-2-1,0,1
8735,4,6,1-2-1,0,0
8860,1,2,1-2-1,1,1
9335,4,2,1-2-1,0,0
9515,6,3,1-2-1,0,1
10160,6,7,1-2-1,0,1
10190,8,6,1-2-1,0,0
10195,6,8,1-2-1,0,0
10195,8,7,1-2-1,0,0
10200,7,8,1-2-1,0,0
10810,6,1,1-2-1,0,0
11060,3,8,1-2-1,0,0
11060,8,3,1-2-1,0,0
12320,3,2,1-2-1,0,0
13825,7,2,1-2-1,0,0
14150,6,8,1-2-1,0,0
14150,8,6,1-2-1,0,0
14315,6,3,1-2-1,0,0
14325,8,7,1-2-1,0,0
14720,6,5,1-2-1,0,1
14850,6,1,1-2-1,0,0
16570,6,3,1-2-1,0,0
16945,5,8,1-2-1,0,0
16945,5,2,1-2-1,0,0
16945,8,5,1-2-1,0,0
16945,8,2,1-2-1,0,0
18740,6,5,1-2-1,0,0
19355,6,4,1-2-1,0,0
21335,6,1,1-2-1,0,0
22405,6,4,1-2-1,0,0
24605,6,8,1-2-1,0,0
26060,6,8,1-2-1,0,0
26330,6,2,1-2-1,0,0
