tempo,origem,destino,msg_id,delivered,forward_util
145,1,5,1-2-1,0,1
635,5,3,1-2-1,0,1
1210,3,2,1-2-1,1,1
1500,1,3,1-2-1,0,0
1955,5,7,1-2-1,0,1
1985,5,2,1-2-1,0,0
2020,7,2,1-2-1,0,0
5000,1,6,1-2-1,0,1
5260,6,1,1-2-1,0,0
5265,1,6,1-2-1,0,0
5830,1,4,1-2-1,0,1
5830,6,4,1-2-1,0,0
5890,1,6,1-2-1,0,0
5895,6,1,1-2-1,0,0
5900,4,2,1-2-1,0,0
7150,6,7,1-2-1,0,0
7945,1,2,1-2-1,0,0
10345,6,1,1-2-1,0,0
11460,6,7,1-2-1,0,0
14520,6,7,1-2-1,0,0
14630,6,8,1-2-1,0,1
15895,8,4,1-2-1,0,0
16025,8,6,1-2-1,0,0
16030,6,8,1-2-1,0,0
16505,8,5,1-2-1,0,0
16985,8,1,1-2-1,0,0
17385,6,3,1-2-1,0,0
18615,6,2,1-2-1,0,0
19295,8,6,1-2-1,0,0
19745,8,4,1-2-1,0,0
19835,8,2,1-2-1,0,0
