tempo,origem,destino,msg_id,delivered,forward_util
350,1,6,1-2-1,0,1
775,1,5,1-2-1,0,1
790,1,4,1-2-1,0,1
805,5,4,1-2-1,0,0
810,4,5,1-2-1,0,0
885,5,8,1-2-1,0,1
1725,8,7,1-2-1,0,1
1965,6,5,1-2-1,0,0
1970,5,6,1-2-1,0,0
2300,4,3,1-2-1,0,1
2305,3,4,1-2-1,0,0
2310,5,2,1-2-1,1,1
2455,7,3,1-2-1,0,0
2460,3,7,1-2-1,0,0
2475,6,4,1-2-1,0,0
2795,8,1,1-2-1,0,0
2800,1,8,1-2-1,0,0
3245,4,6,1-2-1,0,0
3245,6,4,1-2-1,0,0
3445,6,2,1-2-1,0,0
3910,3,8,1-2-1,0,0
3910,8,3,1-2-1,0,0
3920,4,2,1-2-1,0,0
4120,8,4,1-2-1,0,0
4135,8,2,1-2-1,0,0
4715,7,2,1-2-1,0,0
5290,1,5,1-2-1,0,0
6475,1,6,1-2-1,0,0
7440,3,5,1-2-1,0,0
8125,1,6,1-2-1,0,0
8860,1,6,1-2-1,0,0
9635,3,8,1-2-1,0,0
9840,1,2,1-2-1,0,0
11825,3,8,1-2-1,0,0
13550,3,2,1-2-1,0,0
