tempo,origem,destino,msg_id,delivered,forward_util
395,1,8,1-2-1,0,1
1855,1,3,1-2-1,0,1
1885,1,3,1-2-1,0,0
2080,1,5,1-2-1,0,1
2485,1,3,1-2-1,0,0
2485,3,1,1-2-1,0,0
2555,8,2,1-2-1,1,1
3555,1,8,1-2-1,0,0
3670,3,7,1-2-1,0,1
3700,1,3,1-2-1,0,0
3700,3,1,1-2-1,0,0
3715,1,7,1-2-1,0,0
3715,7,1,1-2-1,0,0
4140,5,6,1-2-1,0,1
4370,6,7,1-2-1,0,0
4370,7,6,1-2-1,0,0
5100,3,5,1-2-1,0,0
5110,5,3,1-2-1,0,0
5125,5,3,1-2-1,0,0
5150,5,1,1-2-1,0,0
5155,1,5,1-2-1,0,0
5175,1,3,1-2-1,0,0
5175,3,1,1-2-1,0,0
5195,5,3,1-2-1,0,0
5425,5,8,1-2-1,0,0
5745,7,6,1-2-1,0,0
5750,6,7,1-2-1,0,0
6205,5,2,1-2-1,0,0
8580,3,8,1-2-1,0,0
8695,3,7,1-2-1,0,0
8695,7,3,1-2-1,0,0
9245,3,1,1-2-1,0,0
9250,1,3,1-2-1,0,0
11195,6,5,1-2-1,0,0
11230,7,1,1-2-1,0,0
11245,1,7,1-2-1,0,0
11470,1,8,1-2-1,0,0
11565,7,4,1-2-1,0,1
12070,1,8,1-2-1,0,0
12610,6,1,1-2-1,0,0
12615,1,6,1-2-1,0,0
12660,1,8,1-2-1,0,0
13190,6,2,1-2-1,0,0
13815,4,8,1-2-1,0,0
14045,1,8,1-2-1,0,0
14360,7,2,1-2-1,0,0
14440,4,3,1-2-1,0,0
14445,3,4,1-2-1,0,0
14450,3,8,1-2-1,0,0
15345,1,7,1-2-1,0,0
16290,1,6,1-2-1,0,0
16625,3,6,1-2-1,0,0
16980,1,2,1-2-1,0,0
18675,4,8,1-2-1,0,0
18740,4,5,1-2-1,0,0
18830,3,7,1-2-1,0,0
18905,3,2,1-2-1,0,0
19320,4,1,1-2-1,0,0
20065,4,5,1-2-1,0,0
21570,4,2,1-2-1,0,0
