tempo,origem,destino,msg_id,delivered,forward_util
3240,1,3,1-2-1,0,1
4555,1,6,1-2-1,0,1
5175,3,1,1-2-1,0,0
5180,1,3,1-2-1,0,0
6660,1,7,1-2-1,0,1
7725,7,3,1-2-1,0,0
7730,3,7,1-2-1,0,0
8485,6,4,1-2-1,0,1
8505,4,6,1-2-1,0,0
8610,7,8,1-2-1,0,1
8870,8,6,1-2-1,0,0
8875,6,8,1-2-1,0,0
9075,1,8,1-2-1,0,0
9075,8,1,1-2-1,0,0
9435,7,3,1-2-1,0,0
9440,3,7,1-2-1,0,0
10595,6,5,1-2-1,0,1
10600,5,6,1-2-1,0,0
10965,6,8,1-2-1,0,0
10965,8,6,1-2-1,0,0
10990,7,1,1-2-1,0,0
10995,1,7,1-2-1,0,0
11520,1,5,1-2-1,0,0
11520,5,1,1-2-1,0,0
14185,3,5,1-2-1,0,0
14190,5,3,1-2-1,0,0
14355,1,3,1-2-1,0,0
14355,3,1,1-2-1,0,0
14475,3,8,1-2-1,0,0
14475,8,3,1-2-1,0,0
14995,1,5,1-2-1,0,0
15000,5,1,1-2-1,0,0
15935,5,8,1-2-1,0,0
15935,8,5,1-2-1,0,0
16040,7,2,1-2-1,1,1
16250,5,2,1-2-1,0,0
17445,6,5,1-2-1,0,0
18055,8,7,1-2-1,0,0
18225,4,3,1-2-1,0,0
18230,3,4,1-2-1,0,0
18815,1,8,1-2-1,0,0
18815,8,1,1-2-1,0,0
18945,3,4,1-2-1,0,0
18945,4,3,1-2-1,0,0
19480,8,5,1-2-1,0,0
19630,4,6,1-2-1,0,0
19630,6,4,1-2-1,0,0
21030,1,2,1-2-1,0,0
21550,4,2,1-2-1,0,0
22160,6,3,1-2-1,0,0
22165,3,6,1-2-1,0,0
22305,3,5,1-2-1,0,0
22645,8,7,1-2-1,0,0
23050,6,5,1-2-1,0,0
23830,8,4,1-2-1,0,0
24515,8,7,1-2-1,0,0
25060,6,1,1-2-1,0,0
25605,3,4,1-2-1,0,0
25685,8,4,1-2-1,0,0
26180,3,7,1-2-1,0,0
26540,8,2,1-2-1,0,0
26955,3,1,1-2-1,0,0
27010,3,7,1-2-1,0,0
27495,3,5,1-2-1,0,0
28790,6,5,1-2-1,0,0
29250,3,8,1-2-1,0,0
29500,6,3,1-2-1,0,0
29505,3,6,1-2-1,0,0
30025,3,4,1-2-1,0,0
32850,6,2,1-2-1,0,0
36530,3,6,1-2-1,0,0
36675,3,8,1-2-1,0,0
38295,3,5,1-2-1,0,0
38550,3,1,1-2-1,0,0
38955,3,4,1-2-1,0,0
39980,3,5,1-2-1,0,0
40365,3,4,1-2-1,0,0
42455,3,1,1-2-1,0,0
42740,3,6,1-2-1,0,0
45805,3,8,1-2-1,0,0
49975,3,5,1-2-1,0,0
