tempo,origem,destino,msg_id,delivered,forward_util
2045,1,6,1-2-1,0,1
2655,1,6,1-2-1,0,0
2665,6,1,1-2-1,0,0
4595,6,1,1-2-1,0,0
4600,1,6,1-2-1,0,0
5990,6,3,1-2-1,0,1
7525,1,6,1-2-1,0,0
7525,6,1,1-2-1,0,0
7760,3,8,1-2-1,0,1
8145,6,1,1-2-1,0,0
8150,1,6,1-2-1,0,0
8200,6,7,1-2-1,0,1
9210,6,2,1-2-1,1,1
9605,1,6,1-2-1,0,0
9610,1,2,1-2-1,0,0
9850,7,3,1-2-1,0,0
9855,3,7,1-2-1,0,0
9880,3,1,1-2-1,0,0
11395,8,1,1-2-1,0,0
11740,8,4,1-2-1,0,1
11830,7,5,1-2-1,0,1
11835,5,7,1-2-1,0,0
12175,7,6,1-2-1,0,0
12205,4,2,1-2-1,0,0
12590,3,6,1-2-1,0,0
12685,7,1,1-2-1,0,0
14265,8,2,1-2-1,0,0
14430,7,4,1-2-1,0,0
14440,5,4,1-2-1,0,0
14460,5,7,1-2-1,0,0
14480,7,5,1-2-1,0,0
14530,3,1,1-2-1,0,0
14560,3,6,1-2-1,0,0
15745,3,6,1-2-1,0,0
16780,3,8,1-2-1,0,0
17750,3,4,1-2-1,0,0
18505,3,7,1-2-1,0,0
18505,7,3,1-2-1,0,0
18715,3,1,1-2-1,0,0
18900,3,8,1-2-1,0,0
19285,3,5,1-2-1,0,0
19285,5,3,1-2-1,0,0
19735,7,8,1-2-1,0,0
20725,7,2,1-2-1,0,0
21845,3,7,1-2-1,0,0
22815,3,1,1-2-1,0,0
23360,3,1,1-2-1,0,0
24210,3,8,1-2-1,0,0
24400,3,6,1-2-1,0,0
26465,3,4,1-2-1,0,0
28710,3,2,1-2-1,0,0
33085,5,8,1-2-1,0,0
35205,5,8,1-2-1,0,0
35230,5,3,1-2-1,0,0
38145,5,3,1-2-1,0,0
40635,5,6,1-2-1,0,0
42800,5,3,1-2-1,0,0
43100,5,6,1-2-1,0,0
43235,5,4,1-2-1,0,0
43600,5,7,1-2-1,0,0
48690,5,2,1-2-1,0,0
