tempo,origem,destino,msg_id,delivered,forward_util
1235,1,6,1-2-1,0,1
2440,1,4,1-2-1,0,1
2935,6,5,1-2-1,0,1
3105,4,3,1-2-1,0,1
3110,3,4,1-2-1,0,0
4100,5,3,1-2-1,0,0
4105,3,5,1-2-1,0,0
4620,5,8,1-2-1,0,1
4845,3,2,1-2-1,1,1
5085,6,5,1-2-1,0,0
5090,5,6,1-2-1,0,0
5575,4,3,1-2-1,0,0
5795,1,5,1-2-1,0,0
5795,5,1,1-2-1,0,0
6865,8,6,1-2-1,0,0
6870,6,8,1-2-1,0,0
6885,4,7,1-2-1,0,1
7380,7,3,1-2-1,0,0
7635,7,4,1-2-1,0,0
7640,4,7,1-2-1,0,0
8395,4,7,1-2-1,0,0
8395,7,4,1-2-1,0,0
9365,5,2,1-2-1,0,0
10095,1,4,1-2-1,0,0
10095,4,1,1-2-1,0,0
10430,4,3,1-2-1,0,0
11310,1,4,1-2-1,0,0
11310,4,1,1-2-1,0,0
11565,8,2,1-2-1,0,0
11660,6,5,1-2-1,0,0
12510,7,4,1-2-1,0,0
12515,4,7,1-2-1,0,0
12680,4,2,1-2-1,0,0
12840,6,4,1-2-1,0,0
13085,6,8,1-2-1,0,0
14600,6,5,1-2-1,0,0
14835,6,8,1-2-1,0,0
16170,1,5,1-2-1,0,0
17295,1,8,1-2-1,0,0
17820,6,8,1-2-1,0,0
19250,1,8,1-2-1,0,0
20350,6,5,1-2-1,0,0
20525,7,8,1-2-1,0,0
20810,7,4,1-2-1,0,0
21450,6,8,1-2-1,0,0
22065,1,5,1-2-1,0,0
22575,6,4,1-2-1,0,0
22580,1,4,1-2-1,0,0
22660,6,8,1-2-1,0,0
22820,6,1,1-2-1,0,0
22830,1,6,1-2-1,0,0
23290,6,5,1-2-1,0,0
23355,1,5,1-2-1,0,0
23415,7,1,1-2-1,0,0
23420,1,7,1-2-1,0,0
23525,6,2,1-2-1,0,0
23660,7,3,1-2-1,0,0
24150,1,4,1-2-1,0,0
24580,7,3,1-2-1,0,0
24915,1,4,1-2-1,0,0
25770,7,3,1-2-1,0,0
28185,7,4,1-2-1,0,0
28190,1,3,1-2-1,0,0
28535,7,8,1-2-1,0,0
29060,1,8,1-2-1,0,0
29385,7,6,1-2-1,0,0
29400,7,6,1-2-1,0,0
29440,1,4,1-2-1,0,0
30070,7,6,1-2-1,0,0
30640,1,5,1-2-1,0,0
31200,1,5,1-2-1,0,0
33155,7,2,1-2-1,0,0
35360,1,3,1-2-1,0,0
35565,1,5,1-2-1,0,0
37920,1,2,1-2-1,0,0
