tempo,origem,destino,msg_id,delivered,forward_util
460,1,3,1-2-1,0,1
3155,1,7,1-2-1,0,1
3920,3,2,1-2-1,1,1
4685,7,6,1-2-1,0,1
5335,1,4,1-2-1,0,1
7180,7,8,1-2-1,0,1
7890,6,3,1-2-1,0,0
8360,8,5,1-2-1,0,1
8560,6,3,1-2-1,0,0
10130,1,2,1-2-1,0,0
10270,5,6,1-2-1,0,0
10270,6,5,1-2-1,0,0
10430,4,1,1-2-1,0,0
10725,4,2,1-2-1,0,0
11965,7,4,1-2-1,0,0
12640,6,1,1-2-1,0,0
13115,8,4,1-2-1,0,0
13505,5,6,1-2-1,0,0
13505,6,5,1-2-1,0,0
14250,7,1,1-2-1,0,0
14865,6,2,1-2-1,0,0
15205,8,6,1-2-1,0,0
16060,8,6,1-2-1,0,0
16570,7,5,1-2-1,0,0
16575,5,7,1-2-1,0,0
17345,5,4,1-2-1,0,0
17355,5,4,1-2-1,0,0
17945,5,3,1-2-1,0,0
18210,5,2,1-2-1,0,0
18305,8,2,1-2-1,0,0
18605,7,5,1-2-1,0,0
18625,7,8,1-2-1,0,0
21710,7,1,1-2-1,0,0
22470,7,5,1-2-1,0,0
22860,7,2,1-2-1,0,0
