tempo,origem,destino,msg_id,delivered,forward_util
3365,1,8,1-2-1,0,1
3685,8,7,1-2-1,0,1
4865,1,8,1-2-1,0,0
4865,8,1,1-2-1,0,0
5285,1,3,1-2-1,0,1
5720,8,5,1-2-1,0,1
5940,3,4,1-2-1,0,1
6060,8,3,1-2-1,0,0
6065,3,8,1-2-1,0,0
6315,7,3,1-2-1,0,0
6320,3,7,1-2-1,0,0
6700,4,3,1-2-1,0,0
6705,3,4,1-2-1,0,0
6840,5,3,1-2-1,0,0
6845,3,5,1-2-1,0,0
7860,3,1,1-2-1,0,0
7865,1,3,1-2-1,0,0
8600,4,2,1-2-1,1,1
8975,5,2,1-2-1,0,0
9175,8,2,1-2-1,0,0
9365,7,4,1-2-1,0,0
9395,7,8,1-2-1,0,0
10005,7,4,1-2-1,0,0
10745,7,2,1-2-1,0,0
12280,3,4,1-2-1,0,0
14080,1,6,1-2-1,0,1
14375,3,4,1-2-1,0,0
14390,6,2,1-2-1,0,0
16105,1,5,1-2-1,0,0
16105,3,6,1-2-1,0,0
17485,3,2,1-2-1,0,0
17750,1,2,1-2-1,0,0
