tempo,origem,destino,msg_id,delivered,forward_util
310,1,4,1-2-1,0,1
5100,4,5,1-2-1,0,1
5415,5,8,1-2-1,0,1
5810,4,7,1-2-1,0,1
6365,7,4,1-2-1,0,0
6370,4,7,1-2-1,0,0
6730,7,2,1-2-1,1,1
7450,1,7,1-2-1,0,0
7520,8,7,1-2-1,0,0
8170,5,3,1-2-1,0,1
8175,3,5,1-2-1,0,0
8610,4,6,1-2-1,0,1
8700,3,4,1-2-1,0,0
8700,4,3,1-2-1,0,0
9035,8,6,1-2-1,0,0
9040,6,8,1-2-1,0,0
9055,4,7,1-2-1,0,0
10835,3,5,1-2-1,0,0
10835,5,3,1-2-1,0,0
11250,3,7,1-2-1,0,0
11350,6,4,1-2-1,0,0
11355,4,6,1-2-1,0,0
11775,1,6,1-2-1,0,0
11775,6,1,1-2-1,0,0
12050,8,1,1-2-1,0,0
12055,1,8,1-2-1,0,0
12200,5,8,1-2-1,0,0
12200,8,5,1-2-1,0,0
12360,8,4,1-2-1,0,0
12365,4,8,1-2-1,0,0
12370,6,2,1-2-1,0,0
13955,4,1,1-2-1,0,0
13960,1,4,1-2-1,0,0
14525,8,2,1-2-1,0,0
15770,4,1,1-2-1,0,0
17295,5,7,1-2-1,0,0
18280,4,6,1-2-1,0,0
19030,5,4,1-2-1,0,0
19035,4,5,1-2-1,0,0
19175,5,7,1-2-1,0,0
19185,5,7,1-2-1,0,0
19955,3,5,1-2-1,0,0
19955,5,3,1-2-1,0,0
20275,1,4,1-2-1,0,0
20275,4,1,1-2-1,0,0
20975,4,1,1-2-1,0,0
20980,1,4,1-2-1,0,0
21145,3,2,1-2-1,0,0
21215,5,1,1-2-1,0,0
21220,1,5,1-2-1,0,0
22410,4,7,1-2-1,0,0
22520,4,8,1-2-1,0,0
22555,5,8,1-2-1,0,0
22870,4,3,1-2-1,0,0
23070,5,2,1-2-1,0,0
24035,1,2,1-2-1,0,0
24050,4,6,1-2-1,0,0
25195,4,5,1-2-1,0,0
25480,4,2,1-2-1,0,0
