tempo,origem,destino,msg_id,delivered,forward_util
0,1,3,1-2-1,0,1
275,1,2,1-2-1,1,1
1370,3,7,1-2-1,0,1
1490,3,6,1-2-1,0,1
2460,3,2,1-2-1,0,0
3155,7,6,1-2-1,0,0
3160,6,7,1-2-1,0,0
3355,7,3,1-2-1,0,0
3585,6,4,1-2-1,0,1
3590,4,6,1-2-1,0,0
3835,4,7,1-2-1,0,0
3835,7,4,1-2-1,0,0
4325,7,8,1-2-1,0,1
5155,7,1,1-2-1,0,0
5455,7,3,1-2-1,0,0
5515,4,5,1-2-1,0,1
5755,7,1,1-2-1,0,0
6195,6,1,1-2-1,0,0
6440,5,3,1-2-1,0,0
6850,4,1,1-2-1,0,0
7100,6,2,1-2-1,0,0
7145,4,8,1-2-1,0,0
7145,8,4,1-2-1,0,0
7310,7,5,1-2-1,0,0
7315,5,7,1-2-1,0,0
8810,7,2,1-2-1,0,0
9435,8,6,1-2-1,0,0
9845,5,1,1-2-1,0,0
9875,4,1,1-2-1,0,0
10080,8,4,1-2-1,0,0
10085,4,8,1-2-1,0,0
10430,4,6,1-2-1,0,0
10775,8,6,1-2-1,0,0
11410,4,6,1-2-1,0,0
12325,5,7,1-2-1,0,0
12485,4,1,1-2-1,0,0
12975,4,7,1-2-1,0,0
14485,4,2,1-2-1,0,0
14900,5,6,1-2-1,0,0
14975,5,2,1-2-1,0,0
19195,8,2,1-2-1,0,0
