tempo,origem,destino,msg_id,delivered,forward_util
230,1,5,1-2-1,0,1
515,5,4,1-2-1,0,1
685,5,6,1-2-1,0,1
970,4,8,1-2-1,0,1
1145,8,3,1-2-1,0,1
1150,3,8,1-2-1,0,0
1170,5,4,1-2-1,0,0
1175,4,5,1-2-1,0,0
1290,4,2,1-2-1,1,1
1525,1,2,1-2-1,0,0
1645,6,7,1-2-1,0,1
1995,3,4,1-2-1,0,0
2410,8,1,1-2-1,0,0
2540,5,1,1-2-1,0,0
3415,7,2,1-2-1,0,0
3940,8,7,1-2-1,0,0
4225,8,1,1-2-1,0,0
4985,6,5,1-2-1,0,0
4990,5,6,1-2-1,0,0
5045,3,6,1-2-1,0,0
5045,6,3,1-2-1,0,0
5225,3,4,1-2-1,0,0
5670,8,1,1-2-1,0,0
5690,3,8,1-2-1,0,0
5690,8,3,1-2-1,0,0
5710,3,1,1-2-1,0,0
6035,5,7,1-2-1,0,0
6315,3,4,1-2-1,0,0
6560,5,4,1-2-1,0,0
7590,8,2,1-2-1,0,0
7820,5,4,1-2-1,0,0
7980,5,1,1-2-1,0,0
8935,3,1,1-2-1,0,0
9555,6,4,1-2-1,0,0
9680,6,7,1-2-1,0,0
10405,3,2,1-2-1,0,0
10745,5,2,1-2-1,0,0
16105,6,4,1-2-1,0,0
17380,6,2,1-2-1,0,0
