tempo,origem,destino,msg_id,delivered
7050,13,14,1-2-1,0
7050,14,13,1-2-1,0
7090,19,12,1-2-1,0
7290,13,19,1-2-1,0
7290,19,13,1-2-1,0
7320,13,8,1-2-1,0
7340,18,10,1-2-1,0
7515,19,16,1-2-1,0
7520,19,1,1-2-1,0
7615,9,1,1-2-1,0
7780,15,18,1-2-1,0
7780,18,15,1-2-1,0
7890,6,10,1-2-1,0
7955,13,16,1-2-1,0
7970,9,19,1-2-1,0
7970,19,9,1-2-1,0
7990,14,8,1-2-1,0
8055,14,18,1-2-1,0
8055,18,14,1-2-1,0
8105,11,16,1-2-1,0
8170,3,4,1-2-1,0
8660,20,6,1-2-1,0
8665,6,20,1-2-1,0
8735,9,17,1-2-1,0
8755,5,12,1-2-1,0
8775,14,2,1-2-1,0
8830,13,10,1-2-1,0
8850,13,1,1-2-1,0
8935,11,3,1-2-1,0
8940,3,11,1-2-1,0
8940,15,4,1-2-1,0
8965,9,1,1-2-1,0
9035,5,4,1-2-1,0
9080,6,17,1-2-1,0
9095,11,16,1-2-1,0
9125,3,13,1-2-1,0
9125,13,3,1-2-1,0
9195,6,4,1-2-1,0
9230,3,8,1-2-1,0
9310,18,10,1-2-1,0
9345,13,16,1-2-1,0
9355,13,8,1-2-1,0
9415,9,1,1-2-1,0
9525,20,11,1-2-1,0
9690,5,19,1-2-1,0
9690,19,5,1-2-1,0
9730,13,8,1-2-1,0
9835,9,11,1-2-1,0
9835,11,9,1-2-1,0
9905,19,16,1-2-1,0
10235,11,16,1-2-1,0
10380,19,4,1-2-1,0
10445,7,8,1-2-1,0
10520,5,6,1-2-1,0
10520,6,5,1-2-1,0
10590,9,8,1-2-1,0
10615,3,6,1-2-1,0
10615,6,3,1-2-1,0
10615,7,14,1-2-1,0
10735,11,19,1-2-1,0
10740,9,15,1-2-1,0
10740,15,9,1-2-1,0
10740,19,11,1-2-1,0
10745,15,8,1-2-1,0
10760,9,10,1-2-1,0
10815,13,8,1-2-1,0
10965,3,16,1-2-1,0
11160,18,10,1-2-1,0
11175,20,16,1-2-1,0
11250,3,13,1-2-1,0
11365,6,2,1-2-1,0
11365,18,14,1-2-1,0
11455,7,14,1-2-1,0
11515,3,2,1-2-1,0
11520,11,3,1-2-1,0
11545,18,12,1-2-1,0
11550,5,11,1-2-1,0
11555,5,3,1-2-1,0
11660,19,12,1-2-1,0
11665,19,3,1-2-1,0
11670,7,3,1-2-1,0
11710,15,17,1-2-1,0
11800,13,12,1-2-1,0
11865,5,8,1-2-1,0
11865,13,10,1-2-1,0
11895,15,14,1-2-1,0
11915,20,3,1-2-1,0
12055,20,18,1-2-1,0
12060,18,20,1-2-1,0
12090,13,19,1-2-1,0
12090,19,13,1-2-1,0
12100,5,17,1-2-1,0
12135,9,3,1-2-1,0
12140,11,1,1-2-1,0
12145,20,6,1-2-1,0
12190,18,16,1-2-1,0
12290,9,18,1-2-1,0
12290,15,14,1-2-1,0
12290,18,9,1-2-1,0
12315,15,14,1-2-1,0
12360,20,16,1-2-1,0
12440,19,10,1-2-1,0
12470,15,14,1-2-1,0
12480,9,20,1-2-1,0
12480,20,9,1-2-1,0
12490,15,14,1-2-1,0
12580,19,1,1-2-1,0
12605,11,8,1-2-1,0
12615,11,10,1-2-1,0
12635,20,17,1-2-1,0
12650,15,14,1-2-1,0
12720,5,12,1-2-1,0
12730,5,20,1-2-1,0
12730,20,5,1-2-1,0
12770,20,2,1-2-1,0
12905,5,4,1-2-1,0
12935,15,1,1-2-1,0
12950,19,8,1-2-1,0
13010,5,7,1-2-1,0
13010,7,5,1-2-1,0
13075,7,1,1-2-1,0
13090,19,15,1-2-1,0
13095,15,19,1-2-1,0
13105,15,8,1-2-1,0
13125,7,12,1-2-1,0
13145,7,12,1-2-1,0
13180,13,20,1-2-1,0
13210,19,10,1-2-1,0
13285,11,6,1-2-1,0
13290,13,3,1-2-1,0
13335,11,6,1-2-1,0
13500,5,19,1-2-1,0
13500,19,5,1-2-1,0
13505,18,10,1-2-1,0
13535,5,15,1-2-1,0
13535,15,5,1-2-1,0
13575,7,11,1-2-1,0
13575,11,7,1-2-1,0
13710,9,19,1-2-1,0
13785,9,2,1-2-1,0
13905,11,6,1-2-1,0
14005,7,12,1-2-1,0
14120,13,7,1-2-1,0
14125,7,13,1-2-1,0
14255,13,6,1-2-1,0
14395,11,20,1-2-1,0
14450,11,9,1-2-1,0
14470,11,10,1-2-1,0
14520,13,3,1-2-1,0
14610,7,6,1-2-1,0
14635,7,17,1-2-1,0
14990,15,5,1-2-1,0
14995,5,15,1-2-1,0
15045,15,12,1-2-1,0
15135,5,16,1-2-1,0
15225,19,6,1-2-1,0
15360,15,10,1-2-1,0
15440,13,16,1-2-1,0
15495,19,8,1-2-1,0
15530,15,13,1-2-1,0
15535,13,15,1-2-1,0
15560,11,3,1-2-1,0
15580,19,4,1-2-1,0
15755,19,14,1-2-1,0
15890,15,8,1-2-1,0
15940,5,1,1-2-1,0
16035,7,17,1-2-1,0
16050,7,4,1-2-1,0
16195,11,17,1-2-1,0
16210,11,4,1-2-1,0
16280,7,14,1-2-1,0
16285,18,17,1-2-1,0
16340,7,10,1-2-1,0
16450,18,16,1-2-1,0
16455,5,8,1-2-1,0
16565,11,4,1-2-1,0
16605,19,15,1-2-1,0
16610,15,19,1-2-1,0
16740,7,5,1-2-1,0
16745,5,7,1-2-1,0
16845,11,4,1-2-1,0
16900,5,1,1-2-1,0
16910,13,4,1-2-1,0
16990,11,6,1-2-1,0
17135,13,15,1-2-1,0
17135,15,13,1-2-1,0
17170,11,2,1-2-1,0
17365,18,17,1-2-1,0
17375,18,17,1-2-1,0
17395,18,17,1-2-1,0
17775,13,4,1-2-1,0
17780,5,3,1-2-1,0
17905,15,12,1-2-1,0
18185,18,17,1-2-1,0
18310,5,6,1-2-1,0
18495,19,4,1-2-1,0
18870,18,1,1-2-1,0
18920,18,3,1-2-1,0
18920,19,14,1-2-1,0
19000,19,2,1-2-1,0
19185,18,12,1-2-1,0
19260,13,15,1-2-1,0
19260,15,13,1-2-1,0
19700,7,2,1-2-1,0
19805,18,20,1-2-1,0
20010,13,8,1-2-1,0
20105,15,10,1-2-1,0
20130,5,19,1-2-1,0
20280,5,11,1-2-1,0
20595,5,4,1-2-1,0
21015,15,8,1-2-1,0
21130,18,16,1-2-1,0
21160,18,6,1-2-1,0
21460,5,7,1-2-1,0
21480,13,15,1-2-1,0
21480,15,13,1-2-1,0
21515,5,8,1-2-1,0
21845,18,11,1-2-1,0
21860,18,19,1-2-1,0
21880,18,12,1-2-1,0
21900,15,1,1-2-1,0
21910,5,14,1-2-1,0
22175,13,3,1-2-1,0
22285,18,3,1-2-1,0
22340,13,2,1-2-1,0
22355,18,10,1-2-1,0
22505,15,7,1-2-1,0
22935,15,17,1-2-1,0
23075,15,11,1-2-1,0
23115,5,18,1-2-1,0
23115,18,5,1-2-1,0
23225,15,7,1-2-1,0
23295,15,7,1-2-1,0
23350,15,7,1-2-1,0
23390,18,3,1-2-1,0
23695,5,12,1-2-1,0
23705,18,12,1-2-1,0
24045,5,7,1-2-1,0
24375,15,13,1-2-1,0
