tempo,origem,destino,msg_id,delivered,forward_util,source_file
1495,6,5,1-2-1,0,1,r103.csv
1650,7,3,1-2-1,0,1,r103.csv
2220,1,2,1-2-1,1,1,r103.csv
2665,6,4,1-2-1,0,1,r103.csv
2670,4,6,1-2-1,0,0,r103.csv
2755,4,7,1-2-1,0,0,r103.csv
2755,7,4,1-2-1,0,0,r103.csv
2890,6,2,1-2-1,0,0,r103.csv
3085,5,2,1-2-1,0,0,r103.csv
3605,3,2,1-2-1,0,0,r103.csv
4160,4,6,1-2-1,0,0,r103.csv
4355,4,5,1-2-1,0,0,r103.csv
5665,4,2,1-2-1,0,0,r103.csv
12410,7,8,1-2-1,0,1,r103.csv
12450,8,5,1-2-1,0,0,r103.csv
12480,7,4,1-2-1,0,0,r103.csv
12875,8,2,1-2-1,0,0,r103.csv
13700,7,6,1-2-1,0,0,r103.csv
13750,7,1,1-2-1,0,0,r103.csv
14370,7,1,1-2-1,0,0,r103.csv
14705,7,5,1-2-1,0,0,r103.csv
14990,7,2,1-2-1,0,0,r103.csv
1370,1,6,1-2-1,0,1,r104.csv
1455,6,8,1-2-1,0,1,r104.csv
1620,6,7,1-2-1,0,1,r104.csv
2670,6,2,1-2-1,1,1,r104.csv
3015,8,6,1-2-1,0,0,r104.csv
3120,1,4,1-2-1,0,1,r104.csv
3245,8,5,1-2-1,0,1,r104.csv
3330,8,2,1-2-1,0,0,r104.csv
4360,4,3,1-2-1,0,1,r104.csv
4365,3,4,1-2-1,0,0,r104.csv
4430,3,2,1-2-1,0,0,r104.csv
4460,4,6,1-2-1,0,0,r104.csv
4535,7,4,1-2-1,0,0,r104.csv
4540,4,7,1-2-1,0,0,r104.csv
4615,7,2,1-2-1,0,0,r104.csv
5090,4,2,1-2-1,0,0,r104.csv
5200,5,4,1-2-1,0,0,r104.csv
7045,1,3,1-2-1,0,0,r104.csv
11610,1,4,1-2-1,0,0,r104.csv
12175,1,6,1-2-1,0,0,r104.csv
13040,1,7,1-2-1,0,0,r104.csv
13145,1,5,1-2-1,0,0,r104.csv
14620,5,7,1-2-1,0,0,r104.csv
14625,5,6,1-2-1,0,0,r104.csv
15295,1,7,1-2-1,0,0,r104.csv
17820,5,4,1-2-1,0,0,r104.csv
18650,5,6,1-2-1,0,0,r104.csv
21210,1,2,1-2-1,0,0,r104.csv
22885,5,7,1-2-1,0,0,r104.csv
24825,5,6,1-2-1,0,0,r104.csv
24905,5,8,1-2-1,0,0,r104.csv
25995,5,4,1-2-1,0,0,r104.csv
27230,5,2,1-2-1,0,0,r104.csv
480,1,5,1-2-1,0,1,r105.csv
2440,1,3,1-2-1,0,1,r105.csv
2550,1,7,1-2-1,0,1,r105.csv
2820,5,8,1-2-1,0,1,r105.csv
2915,1,4,1-2-1,0,1,r105.csv
3970,3,6,1-2-1,0,1,r105.csv
4465,8,6,1-2-1,0,0,r105.csv
4470,6,8,1-2-1,0,0,r105.csv
4490,5,2,1-2-1,1,1,r105.csv
4535,8,5,1-2-1,0,0,r105.csv
4555,3,6,1-2-1,0,0,r105.csv
4555,6,3,1-2-1,0,0,r105.csv
4655,3,2,1-2-1,0,0,r105.csv
4970,7,4,1-2-1,0,0,r105.csv
4975,4,7,1-2-1,0,0,r105.csv
5240,4,6,1-2-1,0,0,r105.csv
5240,6,4,1-2-1,0,0,r105.csv
5420,6,4,1-2-1,0,0,r105.csv
5425,4,6,1-2-1,0,0,r105.csv
5560,1,4,1-2-1,0,0,r105.csv
5560,4,1,1-2-1,0,0,r105.csv
5600,8,2,1-2-1,0,0,r105.csv
