tempo,origem,destino,msg_id,delivered
375,1,8,1-2-1,0
405,8,12,1-2-1,0
505,8,16,1-2-1,0
515,1,13,1-2-1,0
530,12,1,1-2-1,0
540,12,1,1-2-1,0
555,1,6,1-2-1,0
565,12,6,1-2-1,0
570,6,12,1-2-1,0
625,12,14,1-2-1,0
775,16,2,1-2-1,1
930,1,11,1-2-1,0
1000,6,16,1-2-1,0
1280,11,5,1-2-1,0
1290,1,5,1-2-1,0
1290,5,1,1-2-1,0
1320,12,9,1-2-1,0
1325,9,12,1-2-1,0
1350,5,17,1-2-1,0
1515,5,9,1-2-1,0
1515,9,5,1-2-1,0
1585,14,10,1-2-1,0
1665,13,16,1-2-1,0
1840,11,19,1-2-1,0
1980,10,2,1-2-1,0
2085,6,9,1-2-1,0
2085,9,6,1-2-1,0
2180,12,3,1-2-1,0
2180,17,13,1-2-1,0
2185,13,17,1-2-1,0
2190,13,9,1-2-1,0
2195,9,13,1-2-1,0
2200,17,9,1-2-1,0
2205,9,17,1-2-1,0
2260,5,3,1-2-1,0
2275,3,5,1-2-1,0
2285,3,9,1-2-1,0
2285,9,3,1-2-1,0
2300,9,5,1-2-1,0
2305,5,9,1-2-1,0
2325,13,3,1-2-1,0
2330,3,13,1-2-1,0
2370,13,5,1-2-1,0
2375,5,13,1-2-1,0
2430,12,2,1-2-1,0
2500,8,12,1-2-1,0
2570,17,7,1-2-1,0
2580,13,8,1-2-1,0
2585,8,13,1-2-1,0
2615,5,16,1-2-1,0
2635,3,20,1-2-1,0
2655,20,3,1-2-1,0
2655,20,15,1-2-1,0
2660,15,20,1-2-1,0
2665,20,3,1-2-1,0
2730,7,6,1-2-1,0
2730,20,18,1-2-1,0
2735,6,7,1-2-1,0
2735,18,20,1-2-1,0
2765,3,18,1-2-1,0
2765,18,3,1-2-1,0
2840,19,10,1-2-1,0
2870,1,19,1-2-1,0
2870,19,1,1-2-1,0
2915,8,10,1-2-1,0
3055,19,12,1-2-1,0
3090,6,4,1-2-1,0
3095,4,6,1-2-1,0
3100,6,10,1-2-1,0
3110,14,12,1-2-1,0
3195,7,4,1-2-1,0
3200,4,7,1-2-1,0
3230,1,12,1-2-1,0
3265,1,17,1-2-1,0
3265,17,1,1-2-1,0
3280,17,16,1-2-1,0
3295,17,12,1-2-1,0
3300,1,16,1-2-1,0
3375,11,17,1-2-1,0
3375,17,11,1-2-1,0
3385,11,16,1-2-1,0
3455,4,16,1-2-1,0
3460,9,19,1-2-1,0
3460,19,9,1-2-1,0
3465,1,12,1-2-1,0
3465,4,17,1-2-1,0
3465,17,4,1-2-1,0
3480,4,11,1-2-1,0
3480,11,4,1-2-1,0
3515,15,18,1-2-1,0
3515,18,15,1-2-1,0
3550,8,10,1-2-1,0
3630,15,4,1-2-1,0
3655,17,8,1-2-1,0
3660,8,17,1-2-1,0
3735,19,20,1-2-1,0
3735,20,19,1-2-1,0
3770,7,6,1-2-1,0
3775,6,7,1-2-1,0
3790,5,6,1-2-1,0
3790,6,5,1-2-1,0
3795,7,5,1-2-1,0
3800,5,7,1-2-1,0
3815,7,3,1-2-1,0
3820,3,7,1-2-1,0
3905,18,2,1-2-1,0
3990,13,8,1-2-1,0
3995,8,13,1-2-1,0
4080,3,8,1-2-1,0
4080,8,3,1-2-1,0
4145,13,18,1-2-1,0
4245,9,6,1-2-1,0
4250,6,9,1-2-1,0
4265,5,12,1-2-1,0
4330,14,10,1-2-1,0
4340,7,2,1-2-1,0
4460,15,18,1-2-1,0
4525,19,12,1-2-1,0
4545,15,5,1-2-1,0
4550,5,15,1-2-1,0
4620,5,18,1-2-1,0
4705,17,19,1-2-1,0
4715,19,17,1-2-1,0
4825,15,10,1-2-1,0
4985,13,19,1-2-1,0
4985,19,13,1-2-1,0
5010,8,2,1-2-1,0
5095,3,12,1-2-1,0
5105,20,9,1-2-1,0
5110,9,20,1-2-1,0
5220,11,5,1-2-1,0
5225,5,11,1-2-1,0
5240,3,2,1-2-1,0
5265,19,10,1-2-1,0
5300,17,13,1-2-1,0
5305,13,17,1-2-1,0
5455,9,14,1-2-1,0
5455,14,9,1-2-1,0
5490,19,16,1-2-1,0
5515,6,14,1-2-1,0
5515,14,6,1-2-1,0
5545,19,11,1-2-1,0
5550,11,19,1-2-1,0
5685,5,7,1-2-1,0
5705,4,13,1-2-1,0
5705,13,4,1-2-1,0
5730,1,8,1-2-1,0
5765,5,1,1-2-1,0
5770,1,5,1-2-1,0
5795,5,8,1-2-1,0
5860,15,14,1-2-1,0
5865,14,15,1-2-1,0
6080,6,15,1-2-1,0
6080,15,6,1-2-1,0
6095,20,15,1-2-1,0
6100,15,20,1-2-1,0
6105,6,20,1-2-1,0
6110,20,6,1-2-1,0
6130,17,5,1-2-1,0
6130,20,7,1-2-1,0
6135,5,17,1-2-1,0
6180,15,7,1-2-1,0
6420,6,10,1-2-1,0
6445,6,17,1-2-1,0
6445,17,6,1-2-1,0
6485,11,1,1-2-1,0
6485,20,2,1-2-1,0
6490,1,11,1-2-1,0
6520,5,3,1-2-1,0
6550,1,16,1-2-1,0
6675,6,16,1-2-1,0
6690,19,4,1-2-1,0
6695,4,19,1-2-1,0
6715,6,3,1-2-1,0
6725,15,17,1-2-1,0
6725,17,15,1-2-1,0
6825,15,2,1-2-1,0
6875,5,4,1-2-1,0
6880,4,5,1-2-1,0
6885,14,11,1-2-1,0
6890,11,14,1-2-1,0
6965,17,2,1-2-1,0
7145,4,10,1-2-1,0
7235,5,8,1-2-1,0
7315,5,7,1-2-1,0
7445,4,8,1-2-1,0
7450,13,12,1-2-1,0
7480,19,20,1-2-1,0
7525,6,3,1-2-1,0
7610,13,15,1-2-1,0
7640,6,13,1-2-1,0
7645,6,15,1-2-1,0
7650,13,6,1-2-1,0
7670,9,8,1-2-1,0
7680,5,15,1-2-1,0
7700,5,13,1-2-1,0
7700,13,5,1-2-1,0
7715,14,4,1-2-1,0
7720,4,14,1-2-1,0
7755,11,15,1-2-1,0
7895,13,8,1-2-1,0
7915,13,14,1-2-1,0
7915,14,13,1-2-1,0
8015,5,17,1-2-1,0
8035,11,3,1-2-1,0
8050,1,4,1-2-1,0
8050,4,1,1-2-1,0
8165,6,17,1-2-1,0
8170,1,6,1-2-1,0
8170,6,1,1-2-1,0
8285,13,18,1-2-1,0
8475,19,17,1-2-1,0
8610,4,8,1-2-1,0
8835,19,17,1-2-1,0
8865,14,5,1-2-1,0
8870,5,14,1-2-1,0
8995,9,12,1-2-1,0
9085,11,7,1-2-1,0
9090,13,15,1-2-1,0
9145,13,11,1-2-1,0
9155,11,13,1-2-1,0
9155,13,7,1-2-1,0
9245,5,10,1-2-1,0
9260,11,3,1-2-1,0
9295,9,4,1-2-1,0
9300,4,9,1-2-1,0
9325,9,10,1-2-1,0
9360,4,15,1-2-1,0
9385,13,8,1-2-1,0
9485,6,4,1-2-1,0
9490,4,16,1-2-1,0
9490,4,6,1-2-1,0
9520,14,11,1-2-1,0
9525,11,14,1-2-1,0
9535,6,16,1-2-1,0
9545,6,10,1-2-1,0
9795,6,16,1-2-1,0
9930,6,2,1-2-1,0
9930,19,5,1-2-1,0
9935,5,19,1-2-1,0
9995,11,2,1-2-1,0
10005,19,5,1-2-1,0
10030,9,15,1-2-1,0
10200,9,14,1-2-1,0
10200,14,12,1-2-1,0
10205,14,9,1-2-1,0
10205,19,10,1-2-1,0
10210,9,12,1-2-1,0
10255,14,1,1-2-1,0
10275,1,14,1-2-1,0
10325,5,3,1-2-1,0
10435,14,5,1-2-1,0
10440,5,14,1-2-1,0
