tempo,origem,destino,msg_id,delivered
10585,13,18,1-2-1,0
10610,14,17,1-2-1,0
10615,18,13,1-2-1,0
10655,7,13,1-2-1,0
10655,7,18,1-2-1,0
10655,13,7,1-2-1,0
10655,18,13,1-2-1,0
10655,20,19,1-2-1,0
10665,18,7,1-2-1,0
10715,6,5,1-2-1,0
10940,7,5,1-2-1,0
11295,10,11,1-2-1,0
11295,11,10,1-2-1,0
11520,10,12,1-2-1,0
11520,12,10,1-2-1,0
11585,14,17,1-2-1,0
11845,7,8,1-2-1,0
11945,14,13,1-2-1,0
11950,13,14,1-2-1,0
12145,20,17,1-2-1,0
12150,7,5,1-2-1,0
12290,11,1,1-2-1,0
12405,20,8,1-2-1,0
12420,20,8,1-2-1,0
12550,11,12,1-2-1,0
12550,12,11,1-2-1,0
12615,9,17,1-2-1,0
12790,11,10,1-2-1,0
12795,10,11,1-2-1,0
12850,3,16,1-2-1,0
13020,6,1,1-2-1,0
13080,9,12,1-2-1,0
13080,12,9,1-2-1,0
13150,6,2,1-2-1,0
13170,13,6,1-2-1,0
13235,9,19,1-2-1,0
13245,18,1,1-2-1,0
13285,3,14,1-2-1,0
13285,10,5,1-2-1,0
13285,14,3,1-2-1,0
13320,12,19,1-2-1,0
13365,12,9,1-2-1,0
13370,9,12,1-2-1,0
13440,7,10,1-2-1,0
13440,10,7,1-2-1,0
13565,13,16,1-2-1,0
13600,9,19,1-2-1,0
13725,13,3,1-2-1,0
13730,3,13,1-2-1,0
13885,10,5,1-2-1,0
13915,12,1,1-2-1,0
14020,12,5,1-2-1,0
14160,10,2,1-2-1,0
14215,12,16,1-2-1,0
14340,7,17,1-2-1,0
14475,11,13,1-2-1,0
14490,13,11,1-2-1,0
14510,7,10,1-2-1,0
14565,7,16,1-2-1,0
14670,20,15,1-2-1,0
14765,12,14,1-2-1,0
14765,14,12,1-2-1,0
14785,7,6,1-2-1,0
14800,9,2,1-2-1,0
14820,13,16,1-2-1,0
14875,11,19,1-2-1,0
14975,20,7,1-2-1,0
14980,7,17,1-2-1,0
14985,7,20,1-2-1,0
14990,14,15,1-2-1,0
15185,13,20,1-2-1,0
15185,20,13,1-2-1,0
15270,11,17,1-2-1,0
15390,11,9,1-2-1,0
15505,3,17,1-2-1,0
15520,18,16,1-2-1,0
15560,20,5,1-2-1,0
15620,11,15,1-2-1,0
15640,7,11,1-2-1,0
15640,11,7,1-2-1,0
15725,18,15,1-2-1,0
15750,7,18,1-2-1,0
15750,18,7,1-2-1,0
15755,20,3,1-2-1,0
15760,3,20,1-2-1,0
15760,7,15,1-2-1,0
15885,7,9,1-2-1,0
15885,12,8,1-2-1,0
15965,3,2,1-2-1,0
16045,14,2,1-2-1,0
16135,11,4,1-2-1,0
16205,11,2,1-2-1,0
16475,18,3,1-2-1,0
16555,20,7,1-2-1,0
16720,20,1,1-2-1,0
16775,18,15,1-2-1,0
16850,20,17,1-2-1,0
16930,18,10,1-2-1,0
16995,7,11,1-2-1,0
17175,7,13,1-2-1,0
17175,13,7,1-2-1,0
17330,18,14,1-2-1,0
17370,20,3,1-2-1,0
17430,20,19,1-2-1,0
17655,12,1,1-2-1,0
17670,20,10,1-2-1,0
17745,13,15,1-2-1,0
17765,18,6,1-2-1,0
18250,20,12,1-2-1,0
18255,12,20,1-2-1,0
18275,7,8,1-2-1,0
18280,7,16,1-2-1,0
18610,12,16,1-2-1,0
18730,13,15,1-2-1,0
19115,18,3,1-2-1,0
19140,20,6,1-2-1,0
19155,20,5,1-2-1,0
19180,18,20,1-2-1,0
19180,20,18,1-2-1,0
19230,18,6,1-2-1,0
19400,7,14,1-2-1,0
19425,12,5,1-2-1,0
19455,18,19,1-2-1,0
19485,13,11,1-2-1,0
19880,18,11,1-2-1,0
19915,7,11,1-2-1,0
19920,7,18,1-2-1,0
19920,18,7,1-2-1,0
19985,12,1,1-2-1,0
20170,18,1,1-2-1,0
20315,20,11,1-2-1,0
20370,20,3,1-2-1,0
20435,12,15,1-2-1,0
20460,18,3,1-2-1,0
20535,7,14,1-2-1,0
20680,18,4,1-2-1,0
20720,7,2,1-2-1,0
20770,13,14,1-2-1,0
20775,18,11,1-2-1,0
20930,13,2,1-2-1,0
20970,12,14,1-2-1,0
21235,12,15,1-2-1,0
21560,20,18,1-2-1,0
21570,18,20,1-2-1,0
21640,20,12,1-2-1,0
21645,12,20,1-2-1,0
21645,18,8,1-2-1,0
21750,18,10,1-2-1,0
21820,12,3,1-2-1,0
22360,20,17,1-2-1,0
22520,20,19,1-2-1,0
22695,18,4,1-2-1,0
22770,18,20,1-2-1,0
22770,20,18,1-2-1,0
22885,18,3,1-2-1,0
22960,20,9,1-2-1,0
23090,20,10,1-2-1,0
23270,20,6,1-2-1,0
23435,18,9,1-2-1,0
23915,12,8,1-2-1,0
24295,20,15,1-2-1,0
24375,18,13,1-2-1,0
24430,12,18,1-2-1,0
24430,18,12,1-2-1,0
24680,20,6,1-2-1,0
25120,12,10,1-2-1,0
25425,20,12,1-2-1,0
25430,12,20,1-2-1,0
25610,18,17,1-2-1,0
25860,18,9,1-2-1,0
26550,12,11,1-2-1,0
27110,20,3,1-2-1,0
27225,20,11,1-2-1,0
27705,12,13,1-2-1,0
27720,20,6,1-2-1,0
27835,20,7,1-2-1,0
28400,20,12,1-2-1,0
28405,12,20,1-2-1,0
28625,18,13,1-2-1,0
28720,18,15,1-2-1,0
28825,20,18,1-2-1,0
28830,18,20,1-2-1,0
28920,20,15,1-2-1,0
29050,12,4,1-2-1,0
29190,12,8,1-2-1,0
29440,12,16,1-2-1,0
29510,12,3,1-2-1,0
29515,18,19,1-2-1,0
29535,12,8,1-2-1,0
29555,12,17,1-2-1,0
30130,20,14,1-2-1,0
30140,20,17,1-2-1,0
