tempo,origem,destino,msg_id,delivered
170,1,17,1-2-1,0
180,17,8,1-2-1,0
195,1,8,1-2-1,0
195,8,1,1-2-1,0
845,1,16,1-2-1,0
985,16,17,1-2-1,0
985,17,16,1-2-1,0
1075,17,6,1-2-1,0
1150,6,16,1-2-1,0
1150,16,6,1-2-1,0
1305,17,2,1-2-1,1
1435,8,13,1-2-1,0
1470,1,4,1-2-1,0
1485,1,2,1-2-1,0
1500,4,2,1-2-1,0
2060,6,10,1-2-1,0
2225,16,12,1-2-1,0
2230,12,16,1-2-1,0
2310,12,1,1-2-1,0
2370,12,3,1-2-1,0
2430,3,7,1-2-1,0
2485,8,7,1-2-1,0
2540,3,2,1-2-1,0
2570,8,16,1-2-1,0
2570,16,8,1-2-1,0
2600,12,9,1-2-1,0
2770,7,11,1-2-1,0
2845,13,3,1-2-1,0
2980,13,15,1-2-1,0
3265,15,3,1-2-1,0
3300,11,9,1-2-1,0
3305,9,11,1-2-1,0
3425,9,20,1-2-1,0
3455,20,13,1-2-1,0
3575,13,7,1-2-1,0
3580,7,13,1-2-1,0
3600,20,9,1-2-1,0
3605,9,20,1-2-1,0
3785,12,13,1-2-1,0
3785,13,12,1-2-1,0
3865,6,19,1-2-1,0
3925,9,17,1-2-1,0
3930,7,2,1-2-1,0
3950,9,18,1-2-1,0
4035,8,12,1-2-1,0
4035,12,8,1-2-1,0
4295,11,4,1-2-1,0
4390,16,18,1-2-1,0
4390,18,16,1-2-1,0
4460,15,7,1-2-1,0
4510,11,12,1-2-1,0
4510,12,11,1-2-1,0
4540,11,14,1-2-1,0
4585,14,12,1-2-1,0
4590,12,14,1-2-1,0
4650,14,7,1-2-1,0
4655,14,4,1-2-1,0
4830,16,1,1-2-1,0
4965,18,7,1-2-1,0
5055,14,18,1-2-1,0
5055,18,14,1-2-1,0
5135,13,17,1-2-1,0
5145,15,7,1-2-1,0
5280,12,5,1-2-1,0
5285,5,12,1-2-1,0
5325,11,2,1-2-1,0
5380,13,14,1-2-1,0
5380,14,13,1-2-1,0
5405,6,3,1-2-1,0
5485,5,17,1-2-1,0
5495,6,12,1-2-1,0
5495,12,6,1-2-1,0
5590,10,7,1-2-1,0
5645,5,2,1-2-1,0
5695,12,17,1-2-1,0
5695,16,17,1-2-1,0
5700,10,2,1-2-1,0
5725,12,16,1-2-1,0
5725,16,12,1-2-1,0
5865,16,6,1-2-1,0
5870,6,16,1-2-1,0
5870,6,10,1-2-1,0
5905,15,17,1-2-1,0
5950,15,9,1-2-1,0
5955,9,15,1-2-1,0
5965,9,17,1-2-1,0
6070,8,20,1-2-1,0
6070,20,8,1-2-1,0
6245,16,13,1-2-1,0
6250,13,16,1-2-1,0
6375,20,7,1-2-1,0
6525,8,11,1-2-1,0
6540,19,8,1-2-1,0
6545,8,19,1-2-1,0
6555,19,11,1-2-1,0
6675,18,2,1-2-1,0
6690,13,3,1-2-1,0
6720,9,8,1-2-1,0
6725,8,9,1-2-1,0
6795,15,3,1-2-1,0
6800,19,16,1-2-1,0
6805,16,19,1-2-1,0
6865,8,3,1-2-1,0
6900,14,9,1-2-1,0
6905,9,14,1-2-1,0
6980,6,18,1-2-1,0
7025,14,3,1-2-1,0
7050,9,17,1-2-1,0
7090,6,5,1-2-1,0
7110,9,3,1-2-1,0
7200,9,3,1-2-1,0
7225,8,17,1-2-1,0
7240,16,3,1-2-1,0
7355,8,18,1-2-1,0
7450,6,5,1-2-1,0
7470,8,6,1-2-1,0
7475,6,8,1-2-1,0
7480,8,5,1-2-1,0
7490,20,3,1-2-1,0
7600,13,15,1-2-1,0
7600,15,13,1-2-1,0
7620,8,19,1-2-1,0
7625,19,8,1-2-1,0
7650,20,17,1-2-1,0
7785,20,19,1-2-1,0
7980,12,4,1-2-1,0
8000,14,13,1-2-1,0
8005,13,14,1-2-1,0
8185,12,7,1-2-1,0
8300,16,17,1-2-1,0
8400,13,3,1-2-1,0
8425,13,2,1-2-1,0
8460,12,8,1-2-1,0
8465,8,12,1-2-1,0
8555,8,15,1-2-1,0
8555,15,8,1-2-1,0
8580,19,1,1-2-1,0
8650,12,16,1-2-1,0
8650,16,12,1-2-1,0
8660,8,5,1-2-1,0
8715,9,1,1-2-1,0
8845,8,17,1-2-1,0
9065,12,10,1-2-1,0
9235,14,10,1-2-1,0
9235,16,1,1-2-1,0
9265,19,14,1-2-1,0
9270,14,19,1-2-1,0
9490,12,17,1-2-1,0
9530,9,3,1-2-1,0
9565,14,1,1-2-1,0
9645,6,8,1-2-1,0
9645,8,6,1-2-1,0
9695,16,11,1-2-1,0
9735,6,9,1-2-1,0
9735,9,6,1-2-1,0
9745,8,18,1-2-1,0
9835,14,9,1-2-1,0
9840,9,14,1-2-1,0
10090,6,14,1-2-1,0
10095,14,6,1-2-1,0
10190,14,11,1-2-1,0
10315,8,2,1-2-1,0
10515,19,8,1-2-1,0
10620,16,2,1-2-1,0
10665,19,7,1-2-1,0
10905,9,17,1-2-1,0
10930,6,5,1-2-1,0
11055,14,18,1-2-1,0
11160,9,8,1-2-1,0
11340,20,9,1-2-1,0
11345,9,20,1-2-1,0
11365,6,8,1-2-1,0
11365,12,11,1-2-1,0
11465,9,16,1-2-1,0
11550,20,6,1-2-1,0
11555,6,20,1-2-1,0
11615,12,18,1-2-1,0
11820,6,13,1-2-1,0
11925,12,7,1-2-1,0
12025,14,4,1-2-1,0
12150,15,3,1-2-1,0
12155,9,12,1-2-1,0
12155,12,9,1-2-1,0
12165,14,5,1-2-1,0
12200,15,17,1-2-1,0
12920,6,20,1-2-1,0
12920,20,6,1-2-1,0
13045,6,2,1-2-1,0
13295,20,2,1-2-1,0
13355,12,5,1-2-1,0
13575,12,6,1-2-1,0
13790,14,6,1-2-1,0
13825,19,6,1-2-1,0
13995,14,10,1-2-1,0
14005,12,8,1-2-1,0
14040,15,6,1-2-1,0
14070,19,4,1-2-1,0
14080,15,10,1-2-1,0
14140,19,3,1-2-1,0
14165,14,2,1-2-1,0
14375,12,17,1-2-1,0
14510,12,4,1-2-1,0
14605,12,6,1-2-1,0
14620,15,10,1-2-1,0
15215,12,17,1-2-1,0
15220,12,8,1-2-1,0
15355,15,16,1-2-1,0
15820,9,4,1-2-1,0
15945,15,17,1-2-1,0
16165,12,18,1-2-1,0
16370,9,5,1-2-1,0
16530,15,8,1-2-1,0
16885,15,10,1-2-1,0
17115,19,16,1-2-1,0
17150,12,11,1-2-1,0
17165,9,8,1-2-1,0
17170,9,5,1-2-1,0
17865,15,9,1-2-1,0
17870,9,15,1-2-1,0
17915,15,1,1-2-1,0
17920,19,6,1-2-1,0
17925,19,7,1-2-1,0
18320,12,17,1-2-1,0
18335,19,11,1-2-1,0
18375,12,6,1-2-1,0
18495,19,8,1-2-1,0
18700,9,8,1-2-1,0
