tempo,origem,destino,msg_id,delivered
1290,1,7,1-2-1,0
1300,7,4,1-2-1,0
1305,4,7,1-2-1,0
1400,4,1,1-2-1,0
1405,1,4,1-2-1,0
1530,4,12,1-2-1,0
1575,4,18,1-2-1,0
1800,12,15,1-2-1,0
1815,18,14,1-2-1,0
1820,1,11,1-2-1,0
1915,18,15,1-2-1,0
1920,15,18,1-2-1,0
2085,14,9,1-2-1,0
2350,7,6,1-2-1,0
2355,6,7,1-2-1,0
2385,1,19,1-2-1,0
2540,4,2,1-2-1,1
2545,11,3,1-2-1,0
2580,12,4,1-2-1,0
2610,12,8,1-2-1,0
2615,8,12,1-2-1,0
2630,8,4,1-2-1,0
2800,19,12,1-2-1,0
2805,12,19,1-2-1,0
3070,7,11,1-2-1,0
3095,7,2,1-2-1,0
3095,8,6,1-2-1,0
3100,6,8,1-2-1,0
3120,14,13,1-2-1,0
3170,1,4,1-2-1,0
3245,12,7,1-2-1,0
3405,12,2,1-2-1,0
3455,13,16,1-2-1,0
3500,13,10,1-2-1,0
3505,10,13,1-2-1,0
3520,3,7,1-2-1,0
3535,8,4,1-2-1,0
3640,1,19,1-2-1,0
3640,19,1,1-2-1,0
3670,15,4,1-2-1,0
3765,15,13,1-2-1,0
3770,13,15,1-2-1,0
3775,15,7,1-2-1,0
3835,6,7,1-2-1,0
3840,19,20,1-2-1,0
3875,6,13,1-2-1,0
3875,13,6,1-2-1,0
3915,3,19,1-2-1,0
3915,19,3,1-2-1,0
3925,14,9,1-2-1,0
3930,9,14,1-2-1,0
3955,16,6,1-2-1,0
3960,6,16,1-2-1,0
4030,8,2,1-2-1,0
4155,1,20,1-2-1,0
4155,20,1,1-2-1,0
4185,1,3,1-2-1,0
4185,3,1,1-2-1,0
4230,13,7,1-2-1,0
4255,10,4,1-2-1,0
4260,1,11,1-2-1,0
4260,11,1,1-2-1,0
4315,11,20,1-2-1,0
4315,20,11,1-2-1,0
4390,19,15,1-2-1,0
4395,15,19,1-2-1,0
