tempo,origem,destino,msg_id,delivered
935,1,13,1-2-1,0
1335,1,11,1-2-1,0
1460,1,18,1-2-1,0
1480,13,17,1-2-1,0
1540,18,11,1-2-1,0
1545,11,18,1-2-1,0
1650,18,13,1-2-1,0
1655,13,18,1-2-1,0
1775,13,14,1-2-1,0
1810,17,9,1-2-1,0
1825,11,7,1-2-1,0
1830,7,11,1-2-1,0
1935,9,6,1-2-1,0
1980,17,12,1-2-1,0
2035,13,15,1-2-1,0
2040,17,3,1-2-1,0
2050,3,12,1-2-1,0
2050,12,3,1-2-1,0
2065,13,1,1-2-1,0
2070,1,13,1-2-1,0
2155,17,9,1-2-1,0
2160,9,17,1-2-1,0
2160,14,15,1-2-1,0
2160,15,14,1-2-1,0
2175,7,20,1-2-1,0
2200,9,12,1-2-1,0
2200,17,6,1-2-1,0
2205,6,17,1-2-1,0
2205,12,9,1-2-1,0
2255,18,4,1-2-1,0
2310,20,11,1-2-1,0
2315,6,12,1-2-1,0
2315,11,20,1-2-1,0
2315,12,6,1-2-1,0
2315,12,19,1-2-1,0
2330,6,19,1-2-1,0
2330,19,6,1-2-1,0
2490,17,14,1-2-1,0
2495,14,17,1-2-1,0
2655,6,10,1-2-1,0
2690,1,3,1-2-1,0
2690,3,1,1-2-1,0
2710,18,2,1-2-1,1
2820,3,11,1-2-1,0
2820,11,3,1-2-1,0
2845,20,17,1-2-1,0
2850,17,20,1-2-1,0
2880,10,8,1-2-1,0
2890,12,2,1-2-1,0
2895,7,12,1-2-1,0
2895,7,2,1-2-1,0
2905,13,4,1-2-1,0
2915,4,13,1-2-1,0
2975,4,20,1-2-1,0
2975,20,4,1-2-1,0
3030,10,11,1-2-1,0
3030,11,10,1-2-1,0
3070,6,7,1-2-1,0
3130,19,5,1-2-1,0
3130,20,19,1-2-1,0
3135,19,20,1-2-1,0
3145,5,20,1-2-1,0
3145,20,5,1-2-1,0
3190,9,2,1-2-1,0
3205,14,7,1-2-1,0
3250,6,12,1-2-1,0
3345,3,12,1-2-1,0
3360,6,3,1-2-1,0
3365,3,6,1-2-1,0
3465,17,5,1-2-1,0
3470,5,17,1-2-1,0
3490,15,7,1-2-1,0
3560,4,1,1-2-1,0
3565,1,4,1-2-1,0
3605,14,6,1-2-1,0
3610,6,14,1-2-1,0
3700,13,7,1-2-1,0
3710,19,2,1-2-1,0
3975,3,19,1-2-1,0
3980,1,10,1-2-1,0
3980,10,1,1-2-1,0
3985,14,9,1-2-1,0
4000,3,6,1-2-1,0
4000,6,3,1-2-1,0
4065,15,2,1-2-1,0
